material,source_industry,destination_industry,quantity_tons,purity,hazard_level,hazardous,permit_required,authorized_destination,transport_authorized,transport_distance_km,missing_documents,pollution_category,required_documents,compliance_score,verdict
Food Waste,Food,Unauthorized Facility,58.47,83,Low,No,No,No,Yes,186,0,Organic,Organic Waste Record,75,Pass
Used Oil,Automotive,Authorized Oil Recycler,65.57,72,High,Yes,Yes,Yes,Yes,240,0,Hazardous,Hazardous Waste Manifest; Transport Permit,85,Pass
Food Waste,Food,Biogas,184.88,97,Low,No,No,Yes,Yes,266,0,Organic,Organic Waste Record,100,Pass
Plastic Scrap,Packaging,Unauthorized Facility,111.34,84,Low,No,No,No,Yes,188,0,Plastic,Invoice,75,Pass
Chemical Sludge,Chemical,Hazardous Treatment Facility,74.47,79,High,Yes,Yes,Yes,No,258,0,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,65,Fail
Paper Sludge,Paper,Brick Manufacturing,1.57,85,Low,No,No,Yes,Yes,231,0,Industrial,Transfer Record,100,Pass
E-Waste,Electronics,Authorized E-Waste Recycler,44.48,87,High,Yes,Yes,Yes,Yes,175,0,Hazardous,E-Waste Manifest; Transport Permit,85,Pass
Rice Husk,Agriculture,Biofuel,6.61,94,Low,No,No,Yes,Yes,169,0,Organic,Invoice,100,Pass
Polyester Scrap,Textile,Plastic Recycling,118.64,86,Low,No,No,Yes,Yes,46,1,Plastic,Invoice,90,Pass
Polyester Scrap,Textile,Plastic Recycling,163.87,93,Low,No,No,Yes,Yes,121,1,Plastic,Invoice,90,Pass
E-Waste,Electronics,Authorized E-Waste Recycler,127.48,78,High,Yes,Yes,Yes,Yes,5,2,Hazardous,E-Waste Manifest; Transport Permit,65,Fail
Food Waste,Food,Biogas,147.1,76,Low,No,No,Yes,Yes,157,0,Organic,Organic Waste Record,100,Pass
Fly Ash,Thermal Power,Cement,94.89,98,Low,No,No,Yes,Yes,281,0,Industrial,Transfer Record,100,Pass
Bagasse,Sugar,Unauthorized Facility,81.64,70,Low,No,No,No,Yes,235,0,Organic,Invoice,75,Pass
Fly Ash,Thermal Power,Cement,137.91,81,Low,No,No,Yes,Yes,218,0,Industrial,Transfer Record,100,Pass
Plastic Scrap,Packaging,Plastic Recycling,195.78,82,Low,No,No,Yes,Yes,196,0,Plastic,Invoice,100,Pass
E-Waste,Electronics,Authorized E-Waste Recycler,146.52,92,High,Yes,Yes,Yes,No,298,1,Hazardous,E-Waste Manifest; Transport Permit,55,Fail
Paper Sludge,Paper,Brick Manufacturing,34.85,90,Low,No,No,Yes,Yes,27,0,Industrial,Transfer Record,100,Pass
Chemical Sludge,Chemical,Hazardous Treatment Facility,26.69,84,High,Yes,Yes,Yes,Yes,186,0,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,85,Pass
Fly Ash,Thermal Power,Cement,36.2,80,Low,No,No,Yes,Yes,71,0,Industrial,Transfer Record,100,Pass
Rice Husk,Agriculture,Biofuel,179.77,80,Low,No,No,Yes,Yes,47,0,Organic,Invoice,100,Pass
Polyester Scrap,Textile,Plastic Recycling,82.71,93,Low,No,No,Yes,Yes,217,0,Plastic,Invoice,100,Pass
Plastic Scrap,Packaging,Plastic Recycling,20.77,75,Low,No,No,Yes,Yes,71,0,Plastic,Invoice,100,Pass
Paper Sludge,Paper,Brick Manufacturing,123.2,73,Low,No,No,Yes,Yes,63,0,Industrial,Transfer Record,100,Pass
Used Oil,Automotive,Authorized Oil Recycler,38.58,73,High,Yes,Yes,Yes,Yes,126,0,Hazardous,Hazardous Waste Manifest; Transport Permit,85,Pass
Fly Ash,Thermal Power,Cement,180.02,76,Low,No,No,Yes,Yes,193,0,Industrial,Transfer Record,100,Pass
Polyester Scrap,Textile,Plastic Recycling,194.12,76,Low,No,No,Yes,Yes,240,1,Plastic,Invoice,90,Pass
Paper Sludge,Paper,Brick Manufacturing,108.41,97,Low,No,No,Yes,Yes,58,0,Industrial,Transfer Record,100,Pass
Rice Husk,Agriculture,Biofuel,196.15,72,Low,No,No,Yes,Yes,268,0,Organic,Invoice,100,Pass
Steel Slag,Steel,Construction,132.6,78,Medium,No,No,Yes,Yes,197,1,Industrial,Transfer Record,90,Pass
Bagasse,Sugar,Unauthorized Facility,92.26,71,Low,No,No,No,Yes,25,0,Organic,Invoice,75,Pass
Rice Husk,Agriculture,Unauthorized Facility,132.28,78,Low,No,No,No,Yes,97,0,Organic,Invoice,75,Pass
E-Waste,Electronics,Authorized E-Waste Recycler,66.38,90,High,Yes,Yes,Yes,Yes,86,1,Hazardous,E-Waste Manifest; Transport Permit,75,Pass
Plastic Scrap,Packaging,Plastic Recycling,91.9,75,Low,No,No,Yes,Yes,153,1,Plastic,Invoice,90,Pass
Bagasse,Sugar,Unauthorized Facility,162.7,82,Low,No,No,No,Yes,95,0,Organic,Invoice,75,Pass
Rice Husk,Agriculture,Unauthorized Facility,79.49,92,Low,No,No,No,Yes,11,0,Organic,Invoice,75,Pass
Used Oil,Automotive,Authorized Oil Recycler,126.76,77,High,Yes,Yes,Yes,Yes,9,0,Hazardous,Hazardous Waste Manifest; Transport Permit,85,Pass
E-Waste,Electronics,Authorized E-Waste Recycler,168.68,80,High,Yes,Yes,Yes,No,105,3,Hazardous,E-Waste Manifest; Transport Permit,35,Fail
Paper Sludge,Paper,Unauthorized Facility,36.86,97,Low,No,No,No,Yes,180,0,Industrial,Transfer Record,75,Pass
Plastic Scrap,Packaging,Unauthorized Facility,106.09,82,Low,No,No,No,Yes,109,0,Plastic,Invoice,75,Pass
E-Waste,Electronics,Authorized E-Waste Recycler,26.14,90,High,Yes,Yes,Yes,No,290,2,Hazardous,E-Waste Manifest; Transport Permit,45,Fail
Cotton Scrap,Textile,Paper,196.14,97,Low,No,No,Yes,Yes,296,0,Non-Hazardous,Waste Transfer Record,100,Pass
E-Waste,Electronics,Authorized E-Waste Recycler,1.95,98,High,Yes,Yes,Yes,Yes,284,0,Hazardous,E-Waste Manifest; Transport Permit,85,Pass
Food Waste,Food,Biogas,61.77,99,Low,No,No,Yes,Yes,240,0,Organic,Organic Waste Record,100,Pass
E-Waste,Electronics,Authorized E-Waste Recycler,89.99,79,High,Yes,Yes,Yes,Yes,173,0,Hazardous,E-Waste Manifest; Transport Permit,85,Pass
Chemical Sludge,Chemical,Hazardous Treatment Facility,66.24,82,High,Yes,Yes,Yes,No,165,0,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,65,Fail
Cotton Scrap,Textile,Paper,57.99,95,Low,No,No,Yes,Yes,66,0,Non-Hazardous,Waste Transfer Record,100,Pass
Food Waste,Food,Biogas,77.59,86,Low,No,No,Yes,Yes,236,0,Organic,Organic Waste Record,100,Pass
E-Waste,Electronics,Authorized E-Waste Recycler,188.99,76,High,Yes,Yes,Yes,Yes,214,1,Hazardous,E-Waste Manifest; Transport Permit,75,Pass
Steel Slag,Steel,Construction,16.67,89,Medium,No,No,Yes,Yes,38,0,Industrial,Transfer Record,100,Pass
Plastic Scrap,Packaging,Plastic Recycling,3.91,76,Low,No,No,Yes,Yes,48,0,Plastic,Invoice,100,Pass
Food Waste,Food,Biogas,136.44,77,Low,No,No,Yes,Yes,253,0,Organic,Organic Waste Record,100,Pass
Chemical Sludge,Chemical,Hazardous Treatment Facility,61.13,76,High,Yes,Yes,Yes,Yes,181,1,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,75,Pass
Cotton Scrap,Textile,Paper,111.83,97,Low,No,No,Yes,Yes,89,0,Non-Hazardous,Waste Transfer Record,100,Pass
Fly Ash,Thermal Power,Cement,19.52,94,Low,No,No,Yes,Yes,218,0,Industrial,Transfer Record,100,Pass
E-Waste,Electronics,Unauthorized Facility,106.69,94,High,Yes,Yes,No,Yes,253,0,Hazardous,E-Waste Manifest; Transport Permit,60,Fail
Rice Husk,Agriculture,Biofuel,185.92,88,Low,No,No,Yes,Yes,181,0,Organic,Invoice,100,Pass
Plastic Scrap,Packaging,Plastic Recycling,147.59,94,Low,No,No,Yes,Yes,65,0,Plastic,Invoice,100,Pass
Plastic Scrap,Packaging,Plastic Recycling,129.95,87,Low,No,No,Yes,Yes,28,0,Plastic,Invoice,100,Pass
Plastic Scrap,Packaging,Unauthorized Facility,10.86,93,Low,No,No,No,Yes,153,0,Plastic,Invoice,75,Pass
Fly Ash,Thermal Power,Unauthorized Facility,99.15,71,Low,No,No,No,Yes,221,0,Industrial,Transfer Record,75,Pass
Bagasse,Sugar,Paper,93.72,87,Low,No,No,Yes,Yes,290,1,Organic,Invoice,90,Pass
Polyester Scrap,Textile,Plastic Recycling,44.59,73,Low,No,No,Yes,Yes,195,0,Plastic,Invoice,100,Pass
Plastic Scrap,Packaging,Plastic Recycling,189.28,90,Low,No,No,Yes,Yes,289,0,Plastic,Invoice,100,Pass
Chemical Sludge,Chemical,Hazardous Treatment Facility,55.56,83,High,Yes,Yes,Yes,No,83,0,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,65,Fail
Chemical Sludge,Chemical,Hazardous Treatment Facility,174.83,88,High,Yes,Yes,Yes,Yes,263,0,Hazardous,Hazardous Waste Manifest; PCB Authorization; Transport Permit,85,Pass
Fly Ash,Thermal Power,Cement,106.04,90,Low,No,No,Yes,Yes,6,0,Industrial,Transfer Record,100,Pass
Fly Ash,Thermal Power,Cement,16.09,91,Low,No,No,Yes,Yes,45,0,Industrial,Transfer Record,100,Pass
Fly Ash,Thermal Power,Cement,109.97,73,Low,No,No,Yes,Yes,168,0,Industrial,Transfer Record,100,Pass
