budget,primary_material,equipment_name,cost,roi,priority_score
330905.09,textile,High-Shear Pelletizer Extruder,296134.49,33.49,4.45
394436.67,textile,IoT Weighbridge Scales,290193.65,35.43,5.44
92308.68,paper,Automated Compactor Baler,68812.08,18.6,2.47
373958.76,plastic,High-Shear Pelletizer Extruder,318973.07,17.02,2.42
269108.49,battery,IoT Weighbridge Scales,222972.15,33.33,4.75
177893.09,metal,IoT Weighbridge Scales,166427.96,32.28,3.81
339062.38,metal,Solar Decanter Centrifuge,256915.52,20.68,4.33
674896.18,battery,AI Optical Sorter,516089.73,35.85,7.91
283783.31,metal,IoT Weighbridge Scales,211762.97,46.91,6.24
741405.68,paper,AI Optical Sorter,697138.57,42.4,8.48
610490.08,textile,Automated Compactor Baler,574662.76,33.85,5.87
173950.2,plastic,AI Optical Sorter,155348.18,19.15,2.16
54141.59,battery,High-Shear Pelletizer Extruder,47466.71,38.24,3.59
697327.57,paper,Automated Compactor Baler,504762.32,25.35,5.84
551630.94,textile,High-Shear Pelletizer Extruder,467686.2,21.89,3.72
778784.07,battery,AI Optical Sorter,685666.71,20.5,6.59
242051.24,battery,AI Optical Sorter,212440.08,15.99,1.98
721822.7,plastic,IoT Weighbridge Scales,606922.16,37.04,7.14
154498.59,textile,High-Shear Pelletizer Extruder,115992.18,45.94,6.34
710350.88,metal,Solar Decanter Centrifuge,549746.53,15.8,5.63
392400.93,paper,IoT Weighbridge Scales,315540.37,43.8,5.88
317223.38,plastic,AI Optical Sorter,240132.96,27.38,4.11
663511.07,plastic,High-Shear Pelletizer Extruder,465610.96,30.39,5.51
139899.03,paper,High-Shear Pelletizer Extruder,109233.26,30.68,3.52
577264.22,plastic,AI Optical Sorter,440729.02,20.89,5.63
161065.2,plastic,High-Shear Pelletizer Extruder,137290.54,30.1,4.42
88609.06,textile,AI Optical Sorter,76078.66,36.51,2.59
464669.82,paper,High-Shear Pelletizer Extruder,368210.69,20.72,5.28
652354.82,textile,IoT Weighbridge Scales,617033.58,26.36,6.21
163038.16,battery,Solar Decanter Centrifuge,149113.02,23.73,3.51
215180.79,metal,High-Shear Pelletizer Extruder,194173.82,24.55,3.79
678282.58,battery,IoT Weighbridge Scales,599468.88,19.53,3.86
456085.98,metal,High-Shear Pelletizer Extruder,345319.8,18.3,4.12
245621.88,plastic,IoT Weighbridge Scales,206217.59,43.77,5.83
191530.33,plastic,High-Shear Pelletizer Extruder,167606.17,42.48,5.03
715827.57,paper,High-Shear Pelletizer Extruder,668517.63,40.27,8.25
551741.19,battery,AI Optical Sorter,477739.15,12.18,4.08
568921.4,textile,AI Optical Sorter,423266.89,12.65,3.38
420420.29,paper,High-Shear Pelletizer Extruder,363412.65,32.46,5.2
248901.78,textile,High-Shear Pelletizer Extruder,229739.24,34.72,4.26
646108.48,plastic,IoT Weighbridge Scales,560325.31,43.11,7.54
479003.15,plastic,AI Optical Sorter,454400.41,28.92,4.34
259670.26,battery,IoT Weighbridge Scales,182772.59,45.42,6.12
772714.98,plastic,IoT Weighbridge Scales,597781.76,25.86,6.41
688352.5,battery,Automated Compactor Baler,577665.64,45.7,8.39
122882.37,metal,High-Shear Pelletizer Extruder,95089.16,23.61,4.03
686502.35,plastic,High-Shear Pelletizer Extruder,602218.91,31.9,6.22
242155.21,textile,IoT Weighbridge Scales,200464.7,30.05,3.2
648721.38,plastic,IoT Weighbridge Scales,597896.84,12.99,3.61
554019.6,battery,AI Optical Sorter,409287.74,47.35,8.71
679200.13,metal,AI Optical Sorter,481781.81,41.61,7.02
441682.45,textile,IoT Weighbridge Scales,333008.8,34.42,5.45
114010.6,textile,IoT Weighbridge Scales,91532.1,37.18,4.22
375140.55,metal,Automated Compactor Baler,264975.91,46.66,6.25
676985.09,plastic,IoT Weighbridge Scales,543103.32,18.24,4.92
461920.0,plastic,Solar Decanter Centrifuge,355670.77,46.38,6.56
603422.69,textile,Solar Decanter Centrifuge,485694.93,20.92,5.87
60795.12,paper,Solar Decanter Centrifuge,43987.65,23.21,2.2
784632.9,textile,IoT Weighbridge Scales,552609.32,39.48,7.54
398505.36,textile,Automated Compactor Baler,340308.64,34.86,6.14
83978.01,metal,Automated Compactor Baler,78381.64,30.04,4.58
511888.37,metal,AI Optical Sorter,469299.12,34.91,6.3
650711.97,paper,Automated Compactor Baler,548772.58,16.63,5.21
519454.75,plastic,AI Optical Sorter,448222.54,19.44,4.82
255470.85,paper,Automated Compactor Baler,181318.08,34.26,5.44
339047.47,metal,Automated Compactor Baler,266205.2,21.39,3.06
422028.09,metal,Solar Decanter Centrifuge,332171.62,45.72,6.63
775685.41,paper,Automated Compactor Baler,625099.85,32.47,6.82
481943.43,battery,IoT Weighbridge Scales,382183.32,39.95,6.73
693809.56,plastic,Solar Decanter Centrifuge,614005.64,20.58,5.41
333296.66,plastic,IoT Weighbridge Scales,302171.54,23.52,3.87
58128.24,plastic,High-Shear Pelletizer Extruder,42016.35,23.5,3.15
762546.48,paper,High-Shear Pelletizer Extruder,627771.28,15.0,5.43
465277.29,textile,IoT Weighbridge Scales,435754.81,40.13,5.86
135098.45,textile,Automated Compactor Baler,127473.77,47.85,6.55
776488.96,plastic,Automated Compactor Baler,706015.57,43.21,8.45
678860.57,textile,Automated Compactor Baler,542520.18,44.11,7.83
224921.05,textile,AI Optical Sorter,206947.61,20.52,2.47
730770.28,textile,IoT Weighbridge Scales,575521.47,37.49,6.0
578813.27,metal,Automated Compactor Baler,452957.93,27.64,5.45
240261.63,metal,IoT Weighbridge Scales,202508.9,38.68,5.46
608158.74,battery,Solar Decanter Centrifuge,461821.53,26.41,6.0
408286.17,plastic,AI Optical Sorter,308623.09,46.68,6.84
105347.42,battery,High-Shear Pelletizer Extruder,99271.58,30.83,3.62
522048.98,plastic,Solar Decanter Centrifuge,456391.54,25.83,5.41
769026.81,paper,IoT Weighbridge Scales,602851.66,18.11,5.78
535136.27,metal,IoT Weighbridge Scales,452679.28,14.8,4.36
282145.71,paper,Solar Decanter Centrifuge,245800.49,17.85,4.32
733195.39,textile,Automated Compactor Baler,589606.23,32.92,7.04
173625.7,plastic,AI Optical Sorter,142389.13,47.47,6.24
332554.23,metal,AI Optical Sorter,313425.24,42.32,5.83
361114.63,plastic,Solar Decanter Centrifuge,257869.74,43.13,6.86
659675.76,textile,High-Shear Pelletizer Extruder,553374.24,39.68,7.08
146869.56,battery,Solar Decanter Centrifuge,125065.84,20.23,1.8
553775.51,metal,IoT Weighbridge Scales,424838.92,12.8,1.96
673528.62,metal,IoT Weighbridge Scales,608934.82,46.85,7.89
116306.17,battery,AI Optical Sorter,98568.19,29.28,4.35
529521.02,battery,High-Shear Pelletizer Extruder,490224.08,34.22,5.84
