investment,equipment_cost,recycling_volume_kg,energy_savings_kwh,roi,npv,irr
405813.11,476342.87,36867.7,6066.85,98.25,514400.54,7.93
198217.71,94877.37,3846.1,8688.53,44.7,45578.49,5.79
621059.26,359874.84,2008.64,9705.12,-20.0,-680266.5,1.54
840820.51,121922.77,9909.42,1997.36,-20.0,-578587.54,2.0
339030.13,271883.09,22165.31,3054.05,69.2,214497.23,6.77
631260.25,86957.05,15315.09,3790.35,6.46,-107650.8,4.26
483266.49,396884.46,10784.02,5239.5,-20.0,-388643.89,2.8
612793.84,42296.2,30769.7,1871.14,108.19,433998.48,8.33
111799.01,475465.06,48315.97,8122.29,150.0,1247064.8,15.65
339383.08,66882.61,34527.42,4513.49,150.0,873653.49,15.78
165936.32,257684.92,2685.04,9111.34,-8.54,-114222.71,3.66
295840.98,338010.7,16273.84,5296.67,34.19,45338.89,5.37
569374.77,108730.14,48509.65,7796.3,150.0,1154987.43,13.54
942523.99,449517.13,30297.1,9234.37,12.4,-142596.2,4.5
134067.88,114071.77,3216.14,3388.24,-3.95,-57820.78,3.84
419243.43,150247.54,41608.14,3696.18,150.0,931154.21,13.2
316887.78,280494.12,7905.29,8061.53,-3.27,-135967.87,3.87
120823.11,493705.73,38839.99,2147.41,150.0,755068.24,11.16
55246.01,411421.49,35636.01,7344.27,150.0,918689.91,14.87
782706.83,55541.43,18564.82,1335.52,-1.09,-176200.73,3.96
869948.25,319183.1,17214.0,822.87,-20.0,-585208.97,2.54
345433.21,176087.99,36750.7,6448.06,150.0,880196.93,13.46
892852.11,246663.16,6860.12,7189.8,-20.0,-734455.65,1.78
772745.8,289413.05,38777.39,5039.2,69.39,374589.95,6.78
546596.19,225219.69,2245.54,1257.34,-20.0,-665485.69,0.69
79857.73,325477.0,16403.44,5183.99,110.36,275554.99,8.41
912188.15,139660.27,21108.76,7604.4,6.98,-153285.46,4.28
267358.26,56950.36,15197.82,1779.97,115.63,234116.97,8.63
933212.77,407897.78,32036.78,8740.31,21.08,-44459.81,4.84
813488.47,109553.63,44735.39,5485.55,123.81,726602.53,8.95
817068.15,450123.82,16582.17,1278.51,-20.0,-673797.4,2.35
266538.4,225011.74,41082.72,8635.16,150.0,1109582.91,16.32
56604.52,265158.71,21453.14,2376.66,150.0,463249.97,12.22
