material,month_idx,supply_volume_kg,scarcity_index,disruption_risk
paper,29,4104.05,2.03,1.05
battery,11,2609.37,7.07,5.71
battery,22,2359.55,7.41,5.56
metal,28,4409.53,1.88,1.1
paper,3,4182.25,3.05,2.17
plastic,14,4124.78,1.99,1.87
textile,2,4744.55,2.32,1.73
battery,14,2901.79,4.97,3.57
paper,2,4218.77,1.93,1.26
metal,26,3394.19,2.72,1.62
paper,14,5164.98,0.55,0.72
textile,16,4198.91,2.51,2.54
metal,25,3400.4,3.06,2.42
plastic,25,3881.47,3.69,3.13
battery,35,3053.2,5.3,4.11
metal,33,4425.96,1.49,0.95
textile,35,5040.96,0.43,0.0
battery,1,2143.19,7.36,5.84
battery,9,2883.08,6.33,4.2
plastic,32,4095.77,1.91,1.6
textile,15,4996.86,0.65,0.4
paper,2,3718.18,2.4,2.16
textile,6,4172.52,2.17,2.01
metal,28,4521.96,1.99,1.39
plastic,27,3495.27,4.05,1.97
textile,33,4486.72,1.17,0.56
battery,32,2778.53,6.5,4.98
paper,12,4572.34,1.21,0.24
plastic,17,4204.43,2.2,2.15
metal,26,4651.84,1.97,1.78
battery,17,3482.89,5.52,4.7
battery,16,2617.98,6.38,5.16
textile,3,3968.91,3.69,2.77
battery,20,2339.33,6.69,5.21
plastic,18,4241.39,2.96,1.89
metal,35,4267.91,1.56,0.96
plastic,2,3604.21,4.12,2.85
battery,16,3343.12,5.26,4.43
battery,8,2781.48,7.28,4.72
plastic,35,3976.69,2.8,1.33
battery,16,2895.52,5.68,4.08
battery,17,3247.49,5.37,3.27
battery,22,2332.3,6.92,5.16
battery,27,2524.96,7.08,5.89
paper,33,4283.36,1.31,0.56
paper,30,4368.73,1.7,1.57
textile,31,4269.75,0.79,0.41
metal,25,4168.48,3.32,2.35
battery,24,1943.52,7.81,5.33
metal,2,4479.81,2.24,1.5
plastic,29,3643.01,2.43,2.08
paper,7,4729.41,2.01,1.51
plastic,8,3818.42,3.93,2.82
paper,34,4546.91,1.44,0.73
battery,25,2430.5,7.46,5.74
textile,33,4816.67,0.06,0.36
paper,5,3694.42,3.6,2.55
battery,16,3240.17,5.04,3.96
battery,17,2559.07,5.27,3.61
metal,23,4343.51,3.4,2.28
plastic,1,4003.59,2.55,1.99
textile,5,3452.43,3.28,3.2
paper,26,3625.35,3.32,2.67
paper,16,4443.27,1.57,0.81
paper,33,4130.68,2.06,1.41
metal,19,4539.6,2.31,1.74
textile,4,3904.92,3.26,2.91
paper,35,4296.56,1.48,1.96
battery,12,2880.45,5.96,4.28
textile,26,3685.54,2.79,2.61
battery,7,2201.57,7.4,5.91
paper,25,3746.76,3.04,2.63
metal,9,4429.69,3.08,2.06
plastic,32,4378.38,2.25,1.6
textile,12,4161.28,2.02,1.35
plastic,20,3616.31,3.5,3.01
battery,19,2611.68,6.71,5.07
textile,5,3545.65,3.29,1.98
battery,21,2560.3,7.54,5.38
metal,5,4050.51,2.99,2.91
battery,18,2831.85,6.27,4.6
metal,9,4211.23,2.73,2.4
textile,29,4215.01,1.04,0.49
textile,27,3955.6,2.31,1.26
battery,13,2223.03,6.29,5.06
plastic,1,3369.76,3.71,3.09
plastic,25,3836.81,3.72,2.81
battery,35,2685.41,6.21,4.74
plastic,14,4914.4,1.55,1.31
metal,32,4551.59,1.16,0.63
paper,8,3746.72,2.69,1.48
paper,28,3968.08,1.81,1.05
battery,17,2560.12,5.6,3.59
textile,35,4677.75,1.56,1.76
metal,10,4019.54,2.4,1.11
battery,27,2135.59,7.59,5.74
plastic,35,4040.52,2.33,2.4
battery,23,2206.69,7.6,5.95
plastic,1,3968.76,3.39,2.83
metal,28,3421.4,1.53,1.04
battery,12,3850.23,5.46,4.65
metal,11,4413.59,1.3,0.84
paper,34,3917.38,1.59,0.72
metal,33,4853.99,0.0,0.53
metal,17,4743.87,1.41,0.95
metal,6,3652.83,2.08,1.52
battery,11,2554.33,6.18,4.43
battery,32,3858.13,5.02,3.64
metal,19,4684.12,1.8,1.25
plastic,5,3184.81,3.96,2.89
metal,14,4514.77,0.39,0.28
battery,17,3340.3,5.47,3.86
plastic,35,4144.19,1.95,1.35
metal,28,4482.92,0.94,0.0
textile,26,4051.83,2.98,3.46
textile,18,4659.01,2.28,0.73
plastic,28,3706.72,2.77,2.75
battery,18,2691.72,6.66,4.65
metal,8,4476.89,3.2,1.79
paper,26,3833.57,2.12,1.83
battery,6,2820.39,6.71,4.77
battery,30,3015.21,5.71,3.95
textile,24,3723.27,2.87,1.92
battery,2,2989.37,7.5,6.27
battery,5,2174.79,7.21,5.52
plastic,12,4772.46,0.87,0.29
textile,11,4653.14,1.4,0.36
metal,5,4036.2,3.62,2.48
plastic,9,4240.36,3.41,1.57
plastic,5,3852.41,3.6,2.46
plastic,34,4668.86,2.3,1.68
plastic,14,4434.57,2.06,1.73
textile,5,3449.92,3.32,2.38
metal,25,3732.79,3.19,3.16
battery,33,3574.7,5.51,4.26
metal,14,4001.26,0.89,1.24
battery,7,2638.7,7.68,6.44
battery,29,2676.69,6.24,4.34
textile,27,4012.16,3.17,2.24
textile,31,4197.09,1.63,0.34
paper,15,4826.56,0.82,0.92
metal,27,4732.91,1.95,1.87
paper,26,3821.37,2.3,1.01
metal,12,4222.42,1.99,1.32
paper,12,4555.74,1.85,1.13
battery,29,2652.72,6.17,4.43
paper,23,3669.04,4.25,2.95
plastic,10,3736.41,2.74,1.4
plastic,26,3938.03,3.57,3.19
plastic,24,3388.68,3.58,2.8
textile,24,3562.47,3.51,2.27
metal,21,4329.78,2.3,1.73
plastic,20,3909.53,2.97,2.23
