request_id,company,material,quantity_kg,urgency,status,timestamp,city
GC-PK-01574F,Electro-Recycle,paper,1360.0,high,Completed,2026-07-22T07:58:35.655438+00:00,Bangalore
GC-PK-3CFA3A,Tiruppur Textiles,metal,966.0,high,Completed,2026-07-19T07:58:35.655561+00:00,Bangalore
GC-PK-D11FB3,Kovai Paper Mills,battery,2185.0,high,Completed,2026-07-06T07:58:35.655706+00:00,Madurai
GC-PK-CC3AC9,EcoFibre Ltd,metal,1684.0,medium,Completed,2026-07-08T07:58:35.655835+00:00,Bangalore
GC-PK-CA45BB,Kovai Paper Mills,plastic,974.0,medium,Completed,2026-07-20T07:58:35.655926+00:00,Madurai
GC-PK-4887E0,Kovai Paper Mills,battery,2399.0,medium,Completed,2026-07-05T07:58:35.656032+00:00,Coimbatore
GC-PK-44EA57,Tiruppur Textiles,battery,1146.0,high,Completed,2026-07-23T07:58:35.656104+00:00,Chennai
GC-PK-47031A,Kovai Paper Mills,plastic,2863.0,medium,Completed,2026-07-04T07:58:35.656218+00:00,Tiruppur
GC-PK-6D8659,EcoFibre Ltd,textile,1863.0,medium,Completed,2026-07-02T07:58:35.656468+00:00,Madurai
GC-PK-4BB068,Tiruppur Textiles,battery,3652.0,medium,Completed,2026-07-22T07:58:35.656553+00:00,Madurai
GC-PK-606514,EcoFibre Ltd,metal,4343.0,high,Completed,2026-07-12T07:58:35.656656+00:00,Chennai
GC-PK-5164C7,Kovai Paper Mills,metal,4797.0,low,Completed,2026-07-16T07:58:35.656740+00:00,Madurai
GC-PK-225FB0,Tiruppur Textiles,textile,837.0,medium,Completed,2026-07-06T07:58:35.656831+00:00,Chennai
GC-PK-25DA66,Tiruppur Textiles,paper,879.0,medium,Completed,2026-07-01T07:58:35.656936+00:00,Bangalore
GC-PK-D98771,Tiruppur Textiles,plastic,3068.0,low,Completed,2026-07-18T07:58:35.656991+00:00,Coimbatore
GC-PK-7A5BFE,Electro-Recycle,plastic,891.0,low,Completed,2026-07-29T07:58:35.657029+00:00,Coimbatore
GC-PK-416344,Tiruppur Textiles,metal,2778.0,medium,Completed,2026-07-02T07:58:35.657067+00:00,Tiruppur
GC-PK-F9F798,Kovai Paper Mills,paper,3604.0,high,Completed,2026-07-07T07:58:35.657105+00:00,Bangalore
GC-PK-BCA811,Electro-Recycle,paper,3273.0,low,Completed,2026-07-29T07:58:35.657145+00:00,Coimbatore
GC-PK-E77EA9,Tiruppur Textiles,battery,4340.0,low,Completed,2026-07-07T07:58:35.657181+00:00,Coimbatore
GC-PK-B1B641,Tiruppur Textiles,metal,1984.0,medium,Completed,2026-07-23T07:58:35.657216+00:00,Tiruppur
GC-PK-C9F39A,Kovai Paper Mills,textile,4691.0,medium,Completed,2026-07-25T07:58:35.657251+00:00,Bangalore
GC-PK-949F08,Electro-Recycle,battery,1559.0,low,Completed,2026-07-23T07:58:35.657287+00:00,Coimbatore
GC-PK-BBF1F1,Electro-Recycle,paper,3125.0,medium,Completed,2026-07-05T07:58:35.657322+00:00,Bangalore
GC-PK-1E5A10,EcoFibre Ltd,paper,4127.0,medium,Completed,2026-07-19T07:58:35.657358+00:00,Chennai
GC-PK-A8EF80,Electro-Recycle,paper,3802.0,low,Completed,2026-07-29T07:58:35.657398+00:00,Tiruppur
GC-PK-B08C9A,Electro-Recycle,plastic,3175.0,medium,Completed,2026-07-27T07:58:35.657588+00:00,Coimbatore
GC-PK-FA0817,Tiruppur Textiles,textile,1163.0,low,Completed,2026-07-08T07:58:35.657657+00:00,Tiruppur
GC-PK-889E59,Kovai Paper Mills,plastic,2353.0,low,Completed,2026-07-10T07:58:35.657709+00:00,Madurai
GC-PK-953C5B,EcoFibre Ltd,metal,2136.0,medium,Completed,2026-07-13T07:58:35.657754+00:00,Coimbatore
GC-PK-D6122C,Tiruppur Textiles,metal,1354.0,medium,Completed,2026-07-29T07:58:35.657802+00:00,Tiruppur
GC-PK-AFB5A8,Electro-Recycle,metal,2207.0,medium,Completed,2026-07-24T07:58:35.657852+00:00,Madurai
GC-PK-95E604,Electro-Recycle,battery,3755.0,medium,Completed,2026-07-24T07:58:35.657900+00:00,Bangalore
GC-PK-EC792C,Kovai Paper Mills,metal,697.0,medium,Completed,2026-07-14T07:58:35.657950+00:00,Tiruppur
GC-PK-BC3432,Tiruppur Textiles,paper,4782.0,high,Completed,2026-07-01T07:58:35.657997+00:00,Coimbatore
GC-PK-53B253,Kovai Paper Mills,paper,1869.0,medium,Completed,2026-07-11T07:58:35.658039+00:00,Madurai
GC-PK-09A167,Kovai Paper Mills,paper,988.0,medium,Completed,2026-07-23T07:58:35.658076+00:00,Chennai
GC-PK-13EA8D,Kovai Paper Mills,plastic,2302.0,medium,Completed,2026-07-05T07:58:35.658114+00:00,Chennai
GC-PK-F4C4F6,Electro-Recycle,metal,762.0,medium,Completed,2026-07-04T07:58:35.658152+00:00,Tiruppur
GC-PK-76EBF5,Kovai Paper Mills,paper,2549.0,low,Completed,2026-07-18T07:58:35.658190+00:00,Bangalore
GC-PK-4F03C7,Tiruppur Textiles,battery,2556.0,medium,Completed,2026-07-11T07:58:35.658228+00:00,Coimbatore
GC-PK-10A557,Kovai Paper Mills,plastic,4491.0,low,Completed,2026-07-13T07:58:35.658264+00:00,Madurai
GC-PK-BB7B94,EcoFibre Ltd,paper,753.0,high,Completed,2026-07-05T07:58:35.658301+00:00,Coimbatore
GC-PK-495D2A,Tiruppur Textiles,textile,3461.0,high,Completed,2026-07-12T07:58:35.658338+00:00,Chennai
GC-PK-36807F,EcoFibre Ltd,battery,4291.0,low,Completed,2026-07-26T07:58:35.658387+00:00,Tiruppur
GC-PK-D5494A,Kovai Paper Mills,plastic,1800.0,high,Completed,2026-07-06T07:58:35.658435+00:00,Coimbatore
GC-PK-560F88,Tiruppur Textiles,plastic,3235.0,high,Completed,2026-07-11T07:58:35.658483+00:00,Bangalore
GC-PK-470E66,Electro-Recycle,battery,725.0,medium,Completed,2026-07-29T07:58:35.658530+00:00,Madurai
GC-PK-57A1FA,Electro-Recycle,plastic,3567.0,low,Completed,2026-07-11T07:58:35.658577+00:00,Madurai
