date,material,industry,quantity,price,month,season,demand_index
2024-01-01,battery,construction,896.68,153.79,1,summer,5.51
2024-01-01,battery,construction,1324.39,139.64,1,summer,6.32
2024-01-01,battery,agriculture,3227.79,155.34,1,summer,5.19
2024-01-01,paper,automotive,601.54,12.14,1,summer,6.29
2024-01-01,textile,packaging,518.54,15.13,1,summer,5.38
2024-01-01,organic,construction,2834.77,4.58,1,summer,6.51
2024-01-01,glass,packaging,4258.87,17.5,1,summer,5.69
2024-01-01,paper,electronics,3891.8,11.61,1,summer,5.19
2024-01-01,plastic,automotive,4591.5,26.31,1,summer,5.34
2024-01-02,plastic,automotive,2436.42,25.71,1,summer,5.59
2024-01-02,plastic,agriculture,745.35,24.44,1,summer,4.75
2024-01-02,paper,textiles,4531.3,12.76,1,summer,6.16
2024-01-02,textile,packaging,1577.78,13.94,1,summer,5.67
2024-01-02,plastic,agriculture,1645.5,25.06,1,summer,5.39
2024-01-02,textile,textiles,4809.76,14.67,1,summer,5.69
2024-01-02,metal,construction,2126.53,103.53,1,summer,5.57
2024-01-02,textile,packaging,3303.39,13.63,1,summer,6.36
2024-01-03,textile,construction,2504.94,15.34,1,summer,5.94
2024-01-03,metal,packaging,1830.42,122.93,1,summer,6.39
2024-01-03,paper,agriculture,3613.31,12.83,1,summer,6.19
2024-01-03,organic,automotive,2039.78,5.29,1,summer,5.9
2024-01-03,organic,construction,2567.9,5.32,1,summer,5.19
2024-01-03,metal,packaging,4245.48,103.31,1,summer,5.22
2024-01-04,glass,construction,2800.99,18.04,1,summer,6.06
2024-01-04,paper,packaging,3319.19,13.48,1,summer,5.21
2024-01-04,glass,construction,4639.32,17.3,1,summer,5.52
2024-01-04,plastic,packaging,1701.19,23.24,1,summer,5.45
2024-01-04,metal,packaging,1655.32,105.6,1,summer,5.32
2024-01-04,metal,electronics,906.68,103.7,1,summer,5.86
2024-01-05,glass,packaging,2958.66,17.54,1,summer,6.19
2024-01-05,organic,electronics,4856.23,5.43,1,summer,5.36
2024-01-05,glass,construction,3086.62,17.76,1,summer,5.12
2024-01-05,battery,construction,3874.63,140.72,1,summer,5.68
2024-01-05,glass,textiles,1260.41,18.02,1,summer,6.5
2024-01-05,metal,automotive,3897.4,110.65,1,summer,4.71
2024-01-06,metal,agriculture,2687.74,105.46,1,summer,5.55
2024-01-06,glass,construction,844.56,19.65,1,summer,5.05
2024-01-06,metal,packaging,1622.76,100.53,1,summer,5.94
2024-01-06,paper,agriculture,3031.95,12.47,1,summer,6.25
2024-01-06,paper,automotive,3420.89,11.74,1,summer,5.98
2024-01-06,organic,construction,2489.3,5.13,1,summer,6.13
2024-01-07,glass,electronics,4825.92,18.94,1,summer,5.72
2024-01-07,plastic,automotive,2526.14,24.86,1,summer,6.01
2024-01-07,textile,agriculture,3848.84,16.75,1,summer,6.11
2024-01-07,metal,textiles,3028.79,117.77,1,summer,5.53
2024-01-07,paper,textiles,653.43,12.54,1,summer,6.01
2024-01-07,battery,packaging,4657.9,148.58,1,summer,5.63
2024-01-07,textile,packaging,4028.09,14.71,1,summer,5.8
2024-01-07,battery,agriculture,4542.26,150.01,1,summer,4.79
2024-01-08,paper,textiles,2685.89,11.36,1,summer,5.48
2024-01-08,organic,electronics,3340.35,5.06,1,summer,5.16
2024-01-08,plastic,agriculture,1608.22,25.5,1,summer,5.85
2024-01-08,plastic,electronics,4016.1,26.34,1,summer,6.48
2024-01-09,plastic,agriculture,2003.52,26.07,1,summer,5.68
2024-01-09,textile,electronics,2674.56,14.8,1,summer,6.08
2024-01-09,textile,construction,1627.26,15.97,1,summer,5.37
2024-01-09,organic,agriculture,4148.34,5.67,1,summer,5.69
2024-01-09,battery,textiles,2349.62,152.06,1,summer,5.87
2024-01-09,plastic,electronics,2905.5,23.96,1,summer,6.65
2024-01-10,organic,automotive,3937.89,4.99,1,summer,5.38
2024-01-10,organic,packaging,3184.1,4.89,1,summer,6.36
2024-01-10,battery,electronics,2634.77,147.05,1,summer,4.88
2024-01-10,metal,textiles,1688.5,109.72,1,summer,5.33
2024-01-10,textile,electronics,2810.85,14.08,1,summer,5.99
2024-01-10,glass,packaging,4954.82,18.91,1,summer,5.48
2024-01-10,paper,agriculture,1008.94,12.84,1,summer,5.16
2024-01-10,paper,electronics,2003.47,13.53,1,summer,6.09
2024-01-10,glass,textiles,4145.69,18.7,1,summer,6.11
2024-01-11,plastic,packaging,1119.04,26.23,1,summer,5.03
2024-01-11,textile,automotive,3534.95,15.1,1,summer,5.43
2024-01-11,battery,electronics,1579.29,151.78,1,summer,5.09
2024-01-11,plastic,automotive,3250.43,24.89,1,summer,5.9
2024-01-11,organic,textiles,3634.28,5.14,1,summer,5.69
2024-01-12,organic,electronics,3302.69,5.34,1,summer,6.16
2024-01-12,organic,textiles,1217.95,4.92,1,summer,5.99
2024-01-12,battery,textiles,3971.63,147.47,1,summer,5.84
2024-01-12,plastic,packaging,3162.73,25.71,1,summer,5.25
2024-01-12,glass,construction,3763.72,17.56,1,summer,5.62
2024-01-12,organic,automotive,1023.65,4.89,1,summer,6.36
2024-01-12,textile,agriculture,1880.49,15.94,1,summer,5.02
2024-01-12,organic,automotive,2556.22,5.07,1,summer,5.55
