material,source_industry,destination_industry,quantity_tons,purity,transport_distance_km,market_price_per_ton,processing_cost_per_ton,transport_cost_per_km,revenue,processing_cost,transport_cost,total_cost,net_profit,roi_percent,profitability
Plastic Scrap,Packaging,Plastic Recycling,94.99,70,115,275.0,44.0,1.49,26122.25,4179.56,171.35,4350.91,21771.34,500.39,Excellent
Fly Ash,Thermal Power,Cement,12.0,78,316,90.3,12.56,0.97,1083.6,150.72,306.52,457.24,626.36,136.99,Excellent
Fly Ash,Thermal Power,Cement,5.89,80,61,91.0,12.4,2.41,535.99,73.04,147.01,220.05,315.94,143.58,Excellent
Steel Slag,Steel,Construction,84.5,87,222,113.47,14.8,1.27,9588.22,1250.6,281.94,1532.54,8055.68,525.64,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,82.05,87,421,694.2,177.6,1.4,56959.11,14572.08,589.4,15161.48,41797.63,275.68,Excellent
Glass Waste,Glass,Glass Recycling,93.49,77,216,128.5,23.17,1.85,12013.47,2166.16,399.6,2565.76,9447.71,368.22,Excellent
Rice Husk,Agriculture,Biofuel,35.5,80,140,123.5,20.67,2.19,4384.25,733.79,306.6,1040.39,3343.86,321.4,Excellent
Bagasse,Sugar,Paper,7.56,85,56,145.75,18.0,1.45,1101.87,136.08,81.2,217.28,884.59,407.12,Excellent
Glass Waste,Glass,Glass Recycling,33.99,78,182,129.0,23.03,1.79,4384.71,782.79,325.78,1108.57,3276.14,295.53,Excellent
Fly Ash,Thermal Power,Cement,21.74,73,104,88.55,12.96,1.66,1925.08,281.75,172.64,454.39,1470.69,323.66,Excellent
Fly Ash,Thermal Power,Cement,43.75,79,114,90.65,12.48,1.22,3965.94,546.0,139.08,685.08,3280.86,478.9,Excellent
Steel Slag,Steel,Construction,46.81,92,71,115.6,14.3,2.07,5411.24,669.38,146.97,816.35,4594.89,562.86,Excellent
Food Waste,Food,Biogas,43.65,83,63,78.9,10.13,1.73,3443.99,442.17,108.99,551.16,2892.83,524.86,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,72.21,78,198,1161.0,314.0,1.52,83835.81,22673.94,300.96,22974.9,60860.91,264.9,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,100.0,75,372,1147.5,320.0,1.93,114750.0,32000.0,717.96,32717.96,82032.04,250.72,Excellent
Fly Ash,Thermal Power,Cement,29.49,87,125,93.45,11.84,2.14,2755.84,349.16,267.5,616.66,2139.18,346.9,Excellent
Rice Husk,Agriculture,Biofuel,51.68,71,35,119.22,21.87,2.41,6161.29,1130.24,84.35,1214.59,4946.7,407.27,Excellent
Paper Sludge,Paper,Brick Manufacturing,94.28,79,183,97.12,14.56,1.25,9156.47,1372.72,228.75,1601.47,7555.0,471.75,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,18.53,73,14,657.8,194.4,1.28,12189.03,3602.23,17.92,3620.15,8568.88,236.7,Excellent
Bagasse,Sugar,Paper,37.36,92,168,149.6,17.16,2.46,5589.06,641.1,413.28,1054.38,4534.68,430.08,Excellent
Fly Ash,Thermal Power,Cement,3.38,96,87,96.6,11.12,1.75,326.51,37.59,152.25,189.84,136.67,71.99,High Profit
Bagasse,Sugar,Paper,40.56,71,60,138.05,19.68,1.4,5599.31,798.22,84.0,882.22,4717.09,534.68,Excellent
Bagasse,Sugar,Paper,63.31,97,159,152.35,16.56,1.56,9645.28,1048.41,248.04,1296.45,8348.83,643.98,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,35.88,99,284,725.4,163.2,1.32,26027.35,5855.62,374.88,6230.5,19796.85,317.74,Excellent
Bagasse,Sugar,Paper,11.17,80,492,143.0,18.6,2.49,1597.31,207.76,1225.08,1432.84,164.47,11.48,Low Profit
Fly Ash,Thermal Power,Cement,1.68,92,476,95.2,11.44,1.54,159.94,19.22,733.04,752.26,-592.32,-78.74,Loss
Food Waste,Food,Biogas,6.58,92,465,81.6,9.53,2.3,536.93,62.71,1069.5,1132.21,-595.28,-52.58,Loss
Plastic Scrap,Packaging,Plastic Recycling,77.49,73,491,278.3,43.2,1.06,21565.47,3347.57,520.46,3868.03,17697.44,457.53,Excellent
Used Oil,Automotive,Authorized Oil Recycler,81.85,94,419,616.5,112.8,2.4,50460.52,9232.68,1005.6,10238.28,40222.24,392.86,Excellent
Bagasse,Sugar,Paper,8.18,90,156,148.5,17.4,2.05,1214.73,142.33,319.8,462.13,752.6,162.85,Excellent
Cotton Scrap,Textile,Paper,66.99,98,157,250.2,31.97,1.31,16760.9,2141.67,205.67,2347.34,14413.56,614.04,Excellent
Steel Slag,Steel,Construction,52.39,90,147,114.75,14.5,1.3,6011.75,759.65,191.1,950.75,5061.0,532.32,Excellent
Rice Husk,Agriculture,Biofuel,29.11,78,118,122.55,20.93,1.77,3567.43,609.27,208.86,818.13,2749.3,336.05,Excellent
Glass Waste,Glass,Glass Recycling,30.64,87,179,133.5,21.71,1.12,4090.44,665.19,200.48,865.67,3224.77,372.52,Excellent
Used Oil,Automotive,Authorized Oil Recycler,29.08,70,59,562.5,132.0,1.99,16357.5,3838.56,117.41,3955.97,12401.53,313.49,Excellent
Fly Ash,Thermal Power,Cement,70.06,90,443,94.5,11.6,1.17,6620.67,812.7,518.31,1331.01,5289.66,397.42,Excellent
Food Waste,Food,Biogas,92.12,91,334,81.3,9.6,1.07,7489.36,884.35,357.38,1241.73,6247.63,503.14,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,15.63,93,148,709.8,170.4,2.36,11094.17,2663.35,349.28,3012.63,8081.54,268.26,Excellent
Plastic Scrap,Packaging,Plastic Recycling,60.19,81,12,287.1,41.07,1.1,17280.55,2472.0,13.2,2485.2,14795.35,595.34,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,3.82,72,44,1134.0,326.0,1.36,4331.88,1245.32,59.84,1305.16,3026.72,231.9,Excellent
Used Oil,Automotive,Authorized Oil Recycler,18.31,83,288,591.75,121.6,2.11,10834.94,2226.5,607.68,2834.18,8000.76,282.3,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,8.06,85,30,689.0,180.0,2.12,5553.34,1450.8,63.6,1514.4,4038.94,266.7,Excellent
Used Oil,Automotive,Authorized Oil Recycler,47.81,82,368,589.5,122.4,2.2,28184.0,5851.94,809.6,6661.54,21522.46,323.09,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,9.56,70,279,1125.0,330.0,2.42,10755.0,3154.8,675.18,3829.98,6925.02,180.81,Excellent
Steel Slag,Steel,Construction,49.61,83,500,111.77,15.2,0.96,5544.91,754.07,480.0,1234.07,4310.84,349.32,Excellent
Glass Waste,Glass,Glass Recycling,88.59,88,393,134.0,21.56,1.97,11871.06,1910.0,774.21,2684.21,9186.85,342.26,Excellent
Glass Waste,Glass,Glass Recycling,23.28,73,166,126.5,23.76,2.11,2944.92,553.13,350.26,903.39,2041.53,225.99,Excellent
Plastic Scrap,Packaging,Plastic Recycling,77.99,79,177,284.9,41.6,1.96,22219.35,3244.38,346.92,3591.3,18628.05,518.7,Excellent
Rice Husk,Agriculture,Biofuel,58.08,98,167,132.05,18.27,1.8,7669.46,1061.12,300.6,1361.72,6307.74,463.22,Excellent
Bagasse,Sugar,Paper,43.41,71,135,138.05,19.68,1.28,5992.75,854.31,172.8,1027.11,4965.64,483.46,Excellent
Cotton Scrap,Textile,Paper,51.99,88,379,241.2,34.3,1.31,12539.99,1783.26,496.49,2279.75,10260.24,450.06,Excellent
Food Waste,Food,Biogas,66.77,86,402,79.8,9.93,2.31,5328.25,663.03,928.62,1591.65,3736.6,234.76,Excellent
Food Waste,Food,Biogas,41.92,98,91,83.4,9.13,1.78,3496.13,382.73,161.98,544.71,2951.42,541.83,Excellent
Used Oil,Automotive,Authorized Oil Recycler,32.03,79,296,582.75,124.8,1.34,18665.48,3997.34,396.64,4393.98,14271.5,324.8,Excellent
Rice Husk,Agriculture,Biofuel,92.96,82,419,124.45,20.4,2.43,11568.87,1896.38,1018.17,2914.55,8654.32,296.94,Excellent
Plastic Scrap,Packaging,Plastic Recycling,62.33,76,151,281.6,42.4,1.36,17552.13,2642.79,205.36,2848.15,14703.98,516.26,Excellent
Chemical Sludge,Chemical,Hazardous Treatment Facility,41.54,72,436,655.2,195.6,0.81,27217.01,8125.22,353.16,8478.38,18738.63,221.02,Excellent
Fly Ash,Thermal Power,Cement,62.19,75,60,89.25,12.8,2.17,5550.46,796.03,130.2,926.23,4624.23,499.25,Excellent
Cotton Scrap,Textile,Paper,49.27,73,270,227.7,37.8,1.56,11218.78,1862.41,421.2,2283.61,8935.17,391.27,Excellent
E-Waste,Electronics,Authorized E-Waste Recycler,79.93,75,193,1147.5,320.0,2.4,91719.68,25577.6,463.2,26040.8,65678.88,252.22,Excellent
Cotton Scrap,Textile,Paper,75.83,94,326,246.6,32.9,1.61,18699.68,2494.81,524.86,3019.67,15680.01,519.26,Excellent
Cotton Scrap,Textile,Paper,71.35,86,456,239.4,34.77,2.13,17081.19,2480.84,971.28,3452.12,13629.07,394.8,Excellent
Food Waste,Food,Biogas,6.74,83,150,78.9,10.13,1.15,531.79,68.28,172.5,240.78,291.01,120.86,Excellent
Rice Husk,Agriculture,Biofuel,42.97,76,294,121.6,21.2,1.6,5225.15,910.96,470.4,1381.36,3843.79,278.26,Excellent
Food Waste,Food,Biogas,31.19,89,137,80.7,9.73,2.44,2517.03,303.48,334.28,637.76,1879.27,294.67,Excellent
