CO2,NOx,SOx,PM2.5,timestamp,facility,sensor
388.96,12.34,19.93,42.83,2026-07-01T00:00:00,Coimbatore E-Hub,SEN-100
368.34,99.12,47.48,117.47,2026-07-01T00:10:00,Coimbatore E-Hub,SEN-101
366.6,42.54,2.02,64.57,2026-07-01T00:20:00,EcoFibre Ltd,SEN-102
307.43,22.28,8.7,43.65,2026-07-01T00:30:00,EcoFibre Ltd,SEN-103
442.13,14.31,4.08,44.01,2026-07-01T00:40:00,Salem Scrap Yard,SEN-104
327.72,6.86,15.97,19.38,2026-07-01T00:50:00,Salem Scrap Yard,SEN-100
432.66,27.53,10.86,10.88,2026-07-01T01:00:00,Salem Scrap Yard,SEN-101
282.05,9.88,13.39,11.89,2026-07-01T01:10:00,Salem Scrap Yard,SEN-102
204.67,35.21,11.78,21.44,2026-07-01T01:20:00,Salem Scrap Yard,SEN-103
440.88,36.01,23.61,59.22,2026-07-01T01:30:00,Tiruppur Textiles,SEN-104
247.96,27.82,13.98,62.86,2026-07-01T01:40:00,Salem Scrap Yard,SEN-100
231.4,38.15,10.21,25.45,2026-07-01T01:50:00,Tiruppur Textiles,SEN-101
238.88,11.61,2.36,33.29,2026-07-01T02:00:00,Tiruppur Textiles,SEN-102
151.66,37.62,18.26,50.1,2026-07-01T02:10:00,Salem Scrap Yard,SEN-103
427.89,31.04,23.04,56.75,2026-07-01T02:20:00,Tiruppur Textiles,SEN-104
169.07,17.44,9.48,50.13,2026-07-01T02:30:00,Tiruppur Textiles,SEN-100
318.37,20.32,24.35,56.69,2026-07-01T02:40:00,Coimbatore E-Hub,SEN-101
838.84,61.88,42.07,80.44,2026-07-01T02:50:00,Coimbatore E-Hub,SEN-102
210.52,40.83,12.93,40.98,2026-07-01T03:00:00,Tiruppur Textiles,SEN-103
224.79,21.42,19.38,22.58,2026-07-01T03:10:00,Tiruppur Textiles,SEN-104
358.44,40.22,16.36,26.26,2026-07-01T03:20:00,Coimbatore E-Hub,SEN-100
391.1,12.46,22.53,39.66,2026-07-01T03:30:00,Salem Scrap Yard,SEN-101
565.16,103.18,24.78,109.5,2026-07-01T03:40:00,Salem Scrap Yard,SEN-102
408.22,5.28,13.75,32.96,2026-07-01T03:50:00,Tiruppur Textiles,SEN-103
230.82,14.77,5.87,22.03,2026-07-01T04:00:00,Coimbatore E-Hub,SEN-104
259.09,43.87,24.14,23.85,2026-07-01T04:10:00,Salem Scrap Yard,SEN-100
194.43,44.91,8.14,63.71,2026-07-01T04:20:00,Tiruppur Textiles,SEN-101
233.59,41.33,7.51,17.97,2026-07-01T04:30:00,Coimbatore E-Hub,SEN-102
315.87,28.71,3.86,30.33,2026-07-01T04:40:00,Salem Scrap Yard,SEN-103
260.33,30.29,16.57,39.47,2026-07-01T04:50:00,EcoFibre Ltd,SEN-104
195.22,25.33,18.0,57.21,2026-07-01T05:00:00,Tiruppur Textiles,SEN-100
154.98,25.48,7.21,45.48,2026-07-01T05:10:00,Salem Scrap Yard,SEN-101
269.27,25.71,21.27,47.16,2026-07-01T05:20:00,Tiruppur Textiles,SEN-102
427.41,40.09,7.93,46.3,2026-07-01T05:30:00,EcoFibre Ltd,SEN-103
304.99,15.43,24.91,63.1,2026-07-01T05:40:00,Tiruppur Textiles,SEN-104
339.93,18.56,10.03,49.93,2026-07-01T05:50:00,Salem Scrap Yard,SEN-100
271.35,40.51,21.57,61.46,2026-07-01T06:00:00,Salem Scrap Yard,SEN-101
730.24,13.42,13.0,111.58,2026-07-01T06:10:00,Salem Scrap Yard,SEN-102
241.61,24.42,12.31,64.7,2026-07-01T06:20:00,Salem Scrap Yard,SEN-103
221.17,18.02,19.17,45.73,2026-07-01T06:30:00,Salem Scrap Yard,SEN-104
242.42,26.7,13.7,45.0,2026-07-01T06:40:00,Tiruppur Textiles,SEN-100
441.9,20.72,22.52,44.71,2026-07-01T06:50:00,EcoFibre Ltd,SEN-101
343.53,31.76,21.88,22.66,2026-07-01T07:00:00,EcoFibre Ltd,SEN-102
157.29,30.82,6.07,61.73,2026-07-01T07:10:00,Salem Scrap Yard,SEN-103
415.05,34.91,23.92,28.19,2026-07-01T07:20:00,Tiruppur Textiles,SEN-104
439.09,39.12,8.77,31.18,2026-07-01T07:30:00,Coimbatore E-Hub,SEN-100
295.58,19.91,11.08,56.43,2026-07-01T07:40:00,Salem Scrap Yard,SEN-101
179.15,29.6,24.77,17.7,2026-07-01T07:50:00,EcoFibre Ltd,SEN-102
246.77,38.95,5.14,48.99,2026-07-01T08:00:00,EcoFibre Ltd,SEN-103
392.81,37.4,21.94,60.23,2026-07-01T08:10:00,EcoFibre Ltd,SEN-104
338.37,12.77,3.63,31.82,2026-07-01T08:20:00,Tiruppur Textiles,SEN-100
251.4,20.02,4.16,41.81,2026-07-01T08:30:00,Coimbatore E-Hub,SEN-101
196.51,44.27,21.3,57.32,2026-07-01T08:40:00,Tiruppur Textiles,SEN-102
396.78,19.41,4.92,38.72,2026-07-01T08:50:00,EcoFibre Ltd,SEN-103
439.58,23.29,21.37,20.69,2026-07-01T09:00:00,Salem Scrap Yard,SEN-104
341.23,34.04,24.44,38.4,2026-07-01T09:10:00,Coimbatore E-Hub,SEN-100
269.65,22.34,19.11,23.8,2026-07-01T09:20:00,Tiruppur Textiles,SEN-101
400.79,32.84,11.41,19.53,2026-07-01T09:30:00,EcoFibre Ltd,SEN-102
221.94,8.75,6.21,61.4,2026-07-01T09:40:00,EcoFibre Ltd,SEN-103
371.37,27.17,16.07,33.08,2026-07-01T09:50:00,Tiruppur Textiles,SEN-104
197.59,9.81,9.86,15.05,2026-07-01T10:00:00,Salem Scrap Yard,SEN-100
406.64,33.15,12.91,15.38,2026-07-01T10:10:00,EcoFibre Ltd,SEN-101
253.89,23.59,16.94,12.64,2026-07-01T10:20:00,Coimbatore E-Hub,SEN-102
163.59,19.98,16.39,37.67,2026-07-01T10:30:00,Salem Scrap Yard,SEN-103
355.19,29.63,23.71,61.93,2026-07-01T10:40:00,Tiruppur Textiles,SEN-104
432.07,28.02,10.93,45.38,2026-07-01T10:50:00,Salem Scrap Yard,SEN-100
396.19,30.04,20.87,45.83,2026-07-01T11:00:00,Coimbatore E-Hub,SEN-101
170.81,9.03,2.42,15.19,2026-07-01T11:10:00,Tiruppur Textiles,SEN-102
346.72,20.42,17.68,28.73,2026-07-01T11:20:00,Tiruppur Textiles,SEN-103
185.45,32.87,16.47,58.26,2026-07-01T11:30:00,Coimbatore E-Hub,SEN-104
440.27,26.92,11.74,41.27,2026-07-01T11:40:00,Tiruppur Textiles,SEN-100
273.79,19.88,19.86,28.74,2026-07-01T11:50:00,Coimbatore E-Hub,SEN-101
221.58,32.19,19.02,23.1,2026-07-01T12:00:00,Tiruppur Textiles,SEN-102
301.58,38.06,9.36,59.25,2026-07-01T12:10:00,Tiruppur Textiles,SEN-103
437.56,38.89,10.16,62.62,2026-07-01T12:20:00,Salem Scrap Yard,SEN-104
322.03,30.27,12.31,26.13,2026-07-01T12:30:00,Salem Scrap Yard,SEN-100
213.82,42.85,19.97,16.24,2026-07-01T12:40:00,Coimbatore E-Hub,SEN-101
167.27,26.98,12.16,58.82,2026-07-01T12:50:00,EcoFibre Ltd,SEN-102
440.6,32.52,21.25,57.68,2026-07-01T13:00:00,EcoFibre Ltd,SEN-103
360.29,7.91,20.9,48.84,2026-07-01T13:10:00,EcoFibre Ltd,SEN-104
219.97,28.25,21.85,58.42,2026-07-01T13:20:00,Tiruppur Textiles,SEN-100
445.8,35.14,10.65,14.59,2026-07-01T13:30:00,Coimbatore E-Hub,SEN-101
361.53,14.95,9.6,33.89,2026-07-01T13:40:00,EcoFibre Ltd,SEN-102
290.6,7.25,4.73,16.46,2026-07-01T13:50:00,EcoFibre Ltd,SEN-103
354.31,14.5,11.21,36.27,2026-07-01T14:00:00,Tiruppur Textiles,SEN-104
217.08,43.53,2.28,63.34,2026-07-01T14:10:00,Tiruppur Textiles,SEN-100
