plant,equipment,power_usage,operating_hours,production,season,temperature
Chennai Extrusion Center,Compactor Press,1127.96,22.9,7453.9,summer,31.1
Chennai Extrusion Center,Compactor Press,450.73,9.3,1857.2,monsoon,15.6
Coimbatore Sorting Hub,Compactor Press,1012.46,20.3,2517.2,spring,41.8
Tiruppur Weaving Plant,Compactor Press,248.78,2.5,5485.4,monsoon,18.8
Salem Compressed Scrap,Compactor Press,542.14,10.1,4832.7,monsoon,31.7
Tiruppur Weaving Plant,Hydraulic Baler,1051.45,20.9,6962.9,summer,16.8
Salem Compressed Scrap,Shredder Mill,2082.13,23.2,8179.8,summer,15.4
Salem Compressed Scrap,Hydraulic Baler,812.6,15.4,8415.4,monsoon,39.6
Salem Compressed Scrap,Pelletizer Extruder,2035.38,16.6,3461.3,winter,20.6
Coimbatore Sorting Hub,Pelletizer Extruder,1505.62,11.9,4253.9,spring,31.1
Salem Compressed Scrap,Hydraulic Baler,243.61,3.9,2361.8,summer,41.0
Chennai Extrusion Center,Shredder Mill,1443.91,14.9,9669.9,spring,29.7
Tiruppur Weaving Plant,Shredder Mill,1651.91,19.6,1208.2,monsoon,26.4
Chennai Extrusion Center,Hydraulic Baler,386.18,6.4,7257.7,monsoon,35.8
Tiruppur Weaving Plant,Pelletizer Extruder,1198.65,9.9,1600.8,monsoon,38.0
Chennai Extrusion Center,Hydraulic Baler,864.07,16.7,6826.3,spring,32.2
Chennai Extrusion Center,Hydraulic Baler,569.19,12.4,1636.1,winter,37.9
Coimbatore Sorting Hub,Hydraulic Baler,268.6,2.9,7251.3,winter,15.7
Tiruppur Weaving Plant,Hydraulic Baler,207.93,2.7,6545.9,spring,30.2
Chennai Extrusion Center,Shredder Mill,1235.49,13.9,2429.1,summer,17.1
Chennai Extrusion Center,Hydraulic Baler,395.63,5.5,9332.1,summer,23.0
Salem Compressed Scrap,Compactor Press,621.77,11.2,8891.2,spring,36.8
Salem Compressed Scrap,Shredder Mill,774.73,9.0,1545.5,summer,32.5
Chennai Extrusion Center,Shredder Mill,1177.25,12.7,7078.1,winter,24.1
Chennai Extrusion Center,Hydraulic Baler,501.3,9.1,5428.5,summer,25.9
Salem Compressed Scrap,Pelletizer Extruder,2195.5,17.3,7266.6,summer,22.7
Tiruppur Weaving Plant,Hydraulic Baler,816.07,15.4,5275.5,winter,15.9
Coimbatore Sorting Hub,Pelletizer Extruder,1678.8,13.7,4753.9,winter,21.5
Salem Compressed Scrap,Hydraulic Baler,910.73,18.8,2757.6,monsoon,36.7
Coimbatore Sorting Hub,Hydraulic Baler,1028.34,20.0,8084.3,summer,23.7
Coimbatore Sorting Hub,Compactor Press,257.07,2.9,6113.5,monsoon,20.9
Salem Compressed Scrap,Compactor Press,355.08,4.1,9435.0,spring,25.4
Coimbatore Sorting Hub,Compactor Press,346.68,5.0,3740.1,summer,20.6
Chennai Extrusion Center,Compactor Press,434.28,5.8,9830.6,spring,29.3
Coimbatore Sorting Hub,Shredder Mill,476.95,4.0,9023.5,summer,38.8
Chennai Extrusion Center,Compactor Press,1046.74,20.6,8635.1,winter,36.1
Salem Compressed Scrap,Compactor Press,161.56,3.9,2035.5,winter,33.1
Tiruppur Weaving Plant,Hydraulic Baler,1148.87,23.4,3197.2,winter,29.8
Coimbatore Sorting Hub,Hydraulic Baler,741.19,16.3,2630.6,summer,15.5
Salem Compressed Scrap,Compactor Press,948.34,18.4,7348.9,spring,30.3
Salem Compressed Scrap,Hydraulic Baler,511.36,10.1,3019.4,winter,30.9
Salem Compressed Scrap,Hydraulic Baler,602.07,11.6,3825.7,summer,30.6
Salem Compressed Scrap,Shredder Mill,657.38,6.3,7363.3,monsoon,30.4
Coimbatore Sorting Hub,Shredder Mill,1957.93,21.4,7603.3,summer,40.1
Tiruppur Weaving Plant,Pelletizer Extruder,2915.11,23.3,9654.4,summer,17.0
Tiruppur Weaving Plant,Compactor Press,629.24,12.7,4040.5,winter,40.3
Coimbatore Sorting Hub,Hydraulic Baler,649.79,14.5,1423.2,spring,33.1
Coimbatore Sorting Hub,Pelletizer Extruder,1211.03,9.1,8562.4,summer,34.0
Salem Compressed Scrap,Hydraulic Baler,490.27,8.5,8188.9,monsoon,21.9
Chennai Extrusion Center,Shredder Mill,1398.79,15.8,2345.6,spring,34.0
Salem Compressed Scrap,Pelletizer Extruder,2714.22,21.6,3711.0,spring,30.6
Chennai Extrusion Center,Shredder Mill,599.45,5.4,9827.5,winter,31.0
Coimbatore Sorting Hub,Shredder Mill,405.35,2.8,8314.7,winter,29.5
Salem Compressed Scrap,Compactor Press,1109.49,23.2,4844.0,winter,16.4
Salem Compressed Scrap,Pelletizer Extruder,1769.83,13.9,6555.6,spring,18.6
Chennai Extrusion Center,Compactor Press,871.66,18.4,2883.2,winter,41.0
Chennai Extrusion Center,Hydraulic Baler,814.21,17.3,4385.1,winter,39.7
Coimbatore Sorting Hub,Compactor Press,417.74,6.0,9378.8,summer,40.8
Chennai Extrusion Center,Compactor Press,704.49,14.2,6311.3,monsoon,16.3
Coimbatore Sorting Hub,Shredder Mill,843.21,9.5,1372.1,monsoon,16.1
Coimbatore Sorting Hub,Pelletizer Extruder,2170.49,17.5,5004.7,winter,35.6
Coimbatore Sorting Hub,Pelletizer Extruder,2015.51,16.3,956.6,winter,32.1
Coimbatore Sorting Hub,Compactor Press,626.97,10.2,6445.7,winter,28.5
Salem Compressed Scrap,Compactor Press,1191.25,22.8,9470.4,spring,30.8
Chennai Extrusion Center,Compactor Press,744.36,14.7,4187.6,spring,18.5
Salem Compressed Scrap,Hydraulic Baler,1024.69,20.0,6689.1,monsoon,20.3
Tiruppur Weaving Plant,Compactor Press,249.45,4.2,673.1,monsoon,31.7
Tiruppur Weaving Plant,Pelletizer Extruder,2065.81,17.0,3735.9,monsoon,22.6
Salem Compressed Scrap,Pelletizer Extruder,2196.39,17.3,6475.0,summer,16.1
Salem Compressed Scrap,Pelletizer Extruder,1460.81,11.3,5900.9,monsoon,41.7
Salem Compressed Scrap,Compactor Press,545.78,10.2,7875.9,spring,38.4
Chennai Extrusion Center,Shredder Mill,1621.72,18.3,2763.2,winter,39.4
Coimbatore Sorting Hub,Compactor Press,956.04,20.2,3540.5,monsoon,17.7
Salem Compressed Scrap,Pelletizer Extruder,2145.28,16.9,5083.9,winter,32.1
Tiruppur Weaving Plant,Shredder Mill,835.35,8.5,3622.3,monsoon,20.7
Chennai Extrusion Center,Compactor Press,917.15,17.1,8451.2,summer,17.7
Chennai Extrusion Center,Pelletizer Extruder,2125.39,17.4,1191.2,winter,39.1
Coimbatore Sorting Hub,Hydraulic Baler,775.48,14.8,8699.8,winter,36.9
Chennai Extrusion Center,Hydraulic Baler,1124.46,23.7,7657.1,winter,34.1
Chennai Extrusion Center,Hydraulic Baler,391.57,7.5,3637.4,winter,28.3
Tiruppur Weaving Plant,Pelletizer Extruder,1523.71,12.3,1034.9,spring,35.7
Chennai Extrusion Center,Shredder Mill,709.75,7.2,4302.1,spring,22.7
Salem Compressed Scrap,Shredder Mill,692.54,6.9,9650.6,spring,41.4
Salem Compressed Scrap,Pelletizer Extruder,2849.49,22.3,9231.6,spring,30.0
Salem Compressed Scrap,Shredder Mill,1297.67,13.5,6479.3,winter,23.0
Chennai Extrusion Center,Compactor Press,1044.73,23.1,1049.7,winter,27.3
Salem Compressed Scrap,Shredder Mill,710.5,8.1,2287.2,winter,25.5
Tiruppur Weaving Plant,Shredder Mill,713.73,7.7,4805.8,monsoon,29.5
Tiruppur Weaving Plant,Shredder Mill,1854.85,19.9,7004.9,summer,18.6
Tiruppur Weaving Plant,Pelletizer Extruder,545.46,3.8,8828.3,monsoon,16.2
Chennai Extrusion Center,Compactor Press,643.52,10.3,8200.3,spring,41.6
Tiruppur Weaving Plant,Pelletizer Extruder,2508.32,20.2,5906.3,summer,27.7
Chennai Extrusion Center,Hydraulic Baler,438.84,8.0,1035.6,winter,33.7
Chennai Extrusion Center,Shredder Mill,1397.14,14.9,7398.1,winter,37.9
Tiruppur Weaving Plant,Shredder Mill,1057.39,11.9,1727.0,monsoon,22.4
Salem Compressed Scrap,Compactor Press,187.73,3.0,3052.4,monsoon,33.1
Coimbatore Sorting Hub,Pelletizer Extruder,2387.77,19.0,5441.6,spring,37.0
Chennai Extrusion Center,Hydraulic Baler,679.51,11.3,7954.3,winter,34.0
Chennai Extrusion Center,Hydraulic Baler,271.85,5.0,638.2,winter,31.4
Chennai Extrusion Center,Hydraulic Baler,970.68,18.0,5700.7,summer,36.2
Salem Compressed Scrap,Pelletizer Extruder,2063.66,15.7,8692.5,summer,36.5
Tiruppur Weaving Plant,Compactor Press,176.61,3.5,935.7,winter,28.3
Tiruppur Weaving Plant,Pelletizer Extruder,2035.96,15.9,2781.4,monsoon,29.5
Chennai Extrusion Center,Pelletizer Extruder,2091.68,17.3,2210.6,spring,24.3
Chennai Extrusion Center,Compactor Press,692.83,12.4,6841.8,winter,31.3
Coimbatore Sorting Hub,Compactor Press,437.62,9.6,802.1,winter,18.3
Tiruppur Weaving Plant,Compactor Press,344.49,6.5,3960.6,winter,23.9
Chennai Extrusion Center,Shredder Mill,1544.31,17.1,5360.7,monsoon,39.9
Tiruppur Weaving Plant,Shredder Mill,823.31,8.1,8158.9,summer,31.1
Salem Compressed Scrap,Pelletizer Extruder,999.61,7.2,7719.6,winter,27.5
