city,population,waste_generation,industry_count,land_price,transport_score,recyclers_count,roi_prediction
Salem,7630357.3,11033.5,1064,8708.8,2.4,11,1513.42
Chennai,6996321.1,9096.5,150,2885.1,9.7,12,1140.67
Coimbatore,1863687.3,2914.4,479,28301.1,1.1,9,485.18
Tiruppur,4435810.0,6117.9,719,17753.6,5.1,14,659.37
Chennai,3368464.9,14751.8,1174,38977.4,7.1,9,2465.79
Coimbatore,7616641.5,14491.4,261,18572.9,1.1,2,10864.99
Salem,2307691.0,10312.3,528,37827.4,2.6,1,15454.56
Salem,1866770.7,11379.3,1041,24362.9,5.9,6,2857.52
Erode,7771884.7,11672.0,181,18991.5,9.3,8,2190.09
Salem,839204.7,5014.9,739,34134.8,5.9,8,943.56
Coimbatore,7739414.8,9184.1,512,8059.7,8.2,1,13840.01
Tiruppur,7901652.0,11629.2,667,2237.5,8.3,1,17535.25
Chennai,6426316.6,9168.2,250,29996.3,9.2,9,1527.74
Salem,2981735.2,1140.7,426,30760.2,7.0,12,143.05
Chennai,4709325.7,5867.3,662,34713.8,6.1,14,629.92
Chennai,4420496.2,6527.6,911,6639.3,1.3,7,1410.53
Tiruppur,2857669.9,7726.8,504,12719.6,4.7,11,1057.42
Erode,2215986.2,1339.3,1129,39860.1,6.6,14,147.52
Tiruppur,1291206.9,6956.7,209,6732.2,3.1,14,746.66
Tiruppur,6635110.7,12938.8,729,23962.1,4.8,5,3889.97
Tiruppur,1398990.3,5196.7,1156,4790.4,3.3,12,659.38
Coimbatore,5842029.4,2391.7,971,3586.1,6.5,2,1850.08
Salem,886090.6,4324.0,404,12301.2,2.3,12,542.48
Coimbatore,7892378.4,3782.4,855,5476.7,4.3,1,5763.32
Erode,5242293.7,9576.2,771,36328.8,2.4,11,1307.0
Erode,6937691.0,5024.2,422,32579.4,8.3,4,1885.58
Salem,7553924.5,6084.1,570,42279.4,2.2,12,758.86
Tiruppur,1351051.4,13885.5,282,30379.3,8.4,9,2313.88
Salem,4472379.3,3779.4,273,40580.3,9.1,11,513.37
Tiruppur,2591535.1,10565.3,227,40575.7,9.0,8,1977.62
Tiruppur,5315237.3,1445.3,123,28076.4,1.1,14,151.99
Tiruppur,5476263.3,274.9,897,25595.6,7.2,13,36.63
Tiruppur,1819439.4,467.5,417,15992.2,7.7,8,92.25
Chennai,5432096.7,8611.0,479,23879.0,6.7,6,2156.69
Erode,4150566.1,13610.3,46,36176.9,5.5,12,1697.25
Tiruppur,1964322.4,10892.3,678,26596.2,7.9,1,16380.75
Salem,7553439.4,14318.1,537,17916.8,1.1,8,2687.38
Erode,3711381.1,14506.5,1142,44154.3,1.7,13,1676.27
Erode,1931832.7,4173.4,147,18025.5,4.6,6,1042.45
Coimbatore,7475126.3,1242.2,645,28445.3,9.9,2,952.77
Chennai,2714679.4,4973.8,1147,31971.7,7.3,7,1076.72
Erode,2723826.1,6412.8,940,28295.1,1.7,7,1380.37
Tiruppur,5209208.1,3075.3,531,19061.7,1.5,3,1544.32
Salem,4841486.7,6689.4,873,16110.6,2.4,14,721.26
Erode,6792001.3,12934.0,324,3606.0,8.4,6,3242.6
Chennai,1452953.8,7929.2,1096,13676.3,9.7,7,1715.71
Salem,6815173.1,3076.8,66,32079.0,2.2,13,351.2
Coimbatore,4372252.6,4979.8,676,19149.3,4.9,10,751.61
Coimbatore,690130.6,14447.2,810,20417.5,7.2,1,21736.15
Coimbatore,7364103.0,6746.8,1139,25616.7,7.4,8,1276.11
Erode,2599504.2,14332.0,723,25837.2,6.5,7,3077.34
Chennai,2357982.4,5468.4,1016,7167.1,4.1,12,692.01
Erode,1206177.4,4808.9,977,32257.3,5.3,10,726.5
Coimbatore,4187119.1,7207.4,376,19135.7,6.5,5,2166.66
Salem,839780.1,5744.3,781,42137.8,5.5,8,1078.69
Erode,5629728.3,9314.6,355,29624.0,1.2,11,1268.41
Salem,4816056.3,5944.9,399,7525.5,8.3,11,815.57
Erode,5194547.5,12342.3,1086,10419.0,1.6,14,1329.07
Coimbatore,792223.5,9350.2,746,5061.1,3.9,10,1410.33
Coimbatore,674539.5,12254.1,636,23329.6,7.2,2,9211.73
Erode,7524861.1,780.0,748,36549.7,3.5,10,118.4
Erode,6129610.6,12141.2,1142,19742.6,4.3,7,2614.52
Erode,2289476.4,10261.7,298,34445.3,1.9,1,15360.21
Tiruppur,4289392.8,12431.6,416,40507.5,4.5,12,1551.98
Erode,7290364.8,1551.0,474,43142.4,7.1,4,578.12
Chennai,4197692.4,1432.6,1112,14608.1,4.0,11,204.07
Erode,6142809.0,11915.4,588,6879.0,9.4,10,1795.09
Coimbatore,3811478.8,13338.0,254,32350.8,9.7,9,2222.42
Coimbatore,6777229.1,13029.7,189,19056.0,9.0,2,9778.43
Erode,4349946.3,3651.8,519,12177.5,9.2,13,425.95
Salem,3126636.9,10681.1,464,18253.5,7.3,10,1605.72
Coimbatore,2976894.0,6629.9,192,2488.2,5.2,10,997.73
Salem,1391134.4,1939.4,1044,31284.7,3.1,9,329.1
