transaction_id,buyer,seller,material,quantity,price,timestamp,distance,trust_score,payment_delay,duplicate_contract,fraud_label
TX-100000,Electro-Recycle,Salem Scrap Yard,textile,1549.13,12.57,2026-04-21T14:11:50.205088,203.4,4.6,11,False,0
TX-100001,Kovai Paper Mills,Salem Scrap Yard,battery,262.62,159.16,2026-05-31T14:11:50.205285,436.6,8.9,6,False,0
TX-100002,Tiruppur Textiles,Chennai Polymers,paper,4932.06,7.56,2026-06-13T14:11:50.205395,25.8,9.7,15,False,0
TX-100003,EcoFibre Ltd,Coimbatore E-Hub,paper,4162.45,10.6,2026-05-18T14:11:50.205541,268.6,4.3,19,False,0
TX-100004,Electro-Recycle,Salem Steel,paper,7543.39,7.97,2026-06-16T14:11:50.205670,12.1,5.4,15,False,0
TX-100005,Tiruppur Textiles,Salem Scrap Yard,battery,7283.63,155.67,2026-06-06T14:11:50.205771,120.2,7.9,2,False,0
TX-100006,EcoFibre Ltd,Salem Scrap Yard,textile,7759.72,12.26,2026-05-29T14:11:50.205841,415.2,4.5,23,False,0
TX-100007,Kovai Paper Mills,Chennai Polymers,textile,2243.66,13.06,2026-07-15T14:11:50.205915,373.8,6.1,13,False,0
TX-100008,Tiruppur Textiles,Chennai Polymers,plastic,7896.41,18.65,2026-06-25T14:11:50.205974,7.5,8.8,17,False,0
TX-100009,Tiruppur Textiles,Coimbatore E-Hub,textile,7417.78,12.73,2026-06-26T14:11:50.206042,294.7,9.4,9,False,0
TX-100010,Tiruppur Textiles,Salem Scrap Yard,textile,5863.89,13.0,2026-07-25T14:11:50.206105,215.1,4.7,14,False,0
TX-100011,EcoFibre Ltd,Coimbatore E-Hub,battery,4229.59,144.15,2026-04-25T14:11:50.206162,195.3,4.1,13,False,0
TX-100012,Electro-Recycle,Chennai Polymers,paper,4549.88,9.22,2026-05-20T14:11:50.206284,274.0,7.2,4,False,0
TX-100013,Electro-Recycle,Coimbatore E-Hub,paper,7444.61,10.42,2026-04-13T14:11:50.206468,364.6,7.7,6,False,0
TX-100014,Kovai Paper Mills,Salem Scrap Yard,battery,2662.33,135.41,2026-04-05T14:11:50.206529,408.5,5.6,27,False,0
TX-100015,Tiruppur Textiles,Chennai Polymers,battery,154.92,127.94,2026-04-15T14:11:50.206601,232.3,6.5,5,False,0
TX-100016,Kovai Paper Mills,Salem Scrap Yard,battery,2653.3,166.41,2026-06-21T14:11:50.206666,166.8,9.7,20,False,0
TX-100017,EcoFibre Ltd,Coimbatore E-Hub,plastic,1269.89,20.35,2026-06-06T14:11:50.206736,449.0,5.6,2,False,0
TX-100018,Electro-Recycle,Chennai Polymers,plastic,5111.38,20.68,2026-05-16T14:11:50.206826,204.3,7.3,23,False,0
TX-100019,Kovai Paper Mills,Coimbatore E-Hub,plastic,5852.91,23.95,2026-04-09T14:11:50.206889,168.7,7.7,6,False,0
TX-100020,Kovai Paper Mills,Chennai Polymers,plastic,2634.16,23.41,2026-05-20T14:11:50.206950,12.4,7.0,19,False,0
TX-100021,Kovai Paper Mills,Chennai Polymers,plastic,3240.82,21.75,2026-05-02T14:11:50.207009,235.4,8.9,11,False,0
TX-100022,EcoFibre Ltd,Coimbatore E-Hub,metal,2137.74,110.44,2026-05-22T14:11:50.207074,252.1,7.1,56,False,1
TX-100023,Tiruppur Textiles,Salem Scrap Yard,battery,1590.79,147.37,2026-07-06T14:11:50.207138,129.1,8.1,16,False,0
TX-100024,EcoFibre Ltd,Salem Scrap Yard,plastic,5172.05,84.2,2026-04-11T14:11:50.207209,9.1,4.6,3,False,1
TX-100025,EcoFibre Ltd,Salem Steel,battery,5250.49,151.86,2026-06-12T14:11:50.207289,104.8,8.2,1,False,0
TX-100026,Kovai Paper Mills,Salem Scrap Yard,battery,5295.14,127.85,2026-04-19T14:11:50.207358,168.6,5.6,14,False,0
TX-100027,Tiruppur Textiles,Coimbatore E-Hub,battery,3531.72,142.04,2026-05-22T14:11:50.207431,160.8,7.8,15,False,0
TX-100028,Kovai Paper Mills,Chennai Polymers,battery,4618.83,139.84,2026-04-28T14:11:50.207497,129.4,9.2,9,True,1
TX-100029,Tiruppur Textiles,Salem Steel,textile,4621.11,12.23,2026-06-27T14:11:50.207554,441.2,4.4,21,False,0
TX-100030,Kovai Paper Mills,Coimbatore E-Hub,metal,4498.73,101.73,2026-07-03T14:11:50.207615,258.7,4.6,46,False,1
TX-100031,EcoFibre Ltd,Salem Steel,metal,5952.07,103.85,2026-06-18T14:11:50.207672,315.2,8.1,16,False,0
TX-100032,Electro-Recycle,Salem Steel,battery,2124.03,129.74,2026-04-11T14:11:50.207730,7.3,7.7,20,False,0
TX-100033,Kovai Paper Mills,Salem Steel,paper,7104.28,10.2,2026-06-09T14:11:50.207787,17.3,7.4,23,False,0
TX-100034,Tiruppur Textiles,Salem Steel,textile,6727.57,11.5,2026-04-24T14:11:50.207844,22.3,5.8,11,False,0
TX-100035,Kovai Paper Mills,Chennai Polymers,paper,1804.99,10.6,2026-04-27T14:11:50.207909,282.2,4.5,13,False,0
TX-100036,Electro-Recycle,Coimbatore E-Hub,paper,1148.69,9.89,2026-04-04T14:11:50.207976,197.9,8.4,26,False,0
TX-100037,EcoFibre Ltd,Coimbatore E-Hub,plastic,5539.15,19.03,2026-04-03T14:11:50.208041,30.9,9.4,15,False,0
TX-100038,Kovai Paper Mills,Chennai Polymers,textile,2311.48,14.55,2026-05-05T14:11:50.208139,191.7,5.5,16,False,0
TX-100039,Tiruppur Textiles,Chennai Polymers,paper,463.42,11.03,2026-07-14T14:11:50.208219,23.1,9.0,20,False,0
TX-100040,EcoFibre Ltd,Salem Steel,textile,3840.43,11.7,2026-06-08T14:11:50.208314,182.3,7.6,5,False,0
TX-100041,Electro-Recycle,Salem Steel,metal,7474.15,87.52,2026-07-06T14:11:50.208393,228.0,7.2,13,False,0
TX-100042,Kovai Paper Mills,Coimbatore E-Hub,metal,309.44,106.47,2026-06-09T14:11:50.208501,261.1,6.3,1,False,0
TX-100043,Electro-Recycle,Chennai Polymers,paper,3150.21,10.13,2026-07-18T14:11:50.208640,432.7,9.3,12,False,0
TX-100044,Electro-Recycle,Salem Steel,metal,407.81,84.56,2026-06-26T14:11:50.208800,296.8,6.3,10,False,0
TX-100045,Electro-Recycle,Chennai Polymers,paper,5573.83,11.12,2026-07-09T14:11:50.208987,160.0,9.5,24,False,0
TX-100046,Tiruppur Textiles,Chennai Polymers,paper,1501.77,10.75,2026-04-25T14:11:50.209142,445.8,6.4,18,False,0
TX-100047,Kovai Paper Mills,Coimbatore E-Hub,textile,1984.92,12.73,2026-07-13T14:11:50.209315,307.5,8.4,3,False,0
TX-100048,Tiruppur Textiles,Salem Steel,paper,6629.01,10.68,2026-07-21T14:11:50.209484,178.2,4.1,9,False,0
TX-100049,Electro-Recycle,Salem Scrap Yard,paper,4630.16,9.69,2026-06-08T14:11:50.209702,286.2,6.6,3,False,0
TX-100050,Electro-Recycle,Chennai Polymers,paper,7574.94,9.66,2026-07-25T14:11:50.209932,419.3,9.7,14,False,0
TX-100051,Electro-Recycle,Coimbatore E-Hub,textile,2872.23,12.3,2026-07-13T14:11:50.210151,57.1,4.8,10,False,0
TX-100052,Tiruppur Textiles,Salem Steel,textile,1858.35,13.06,2026-05-26T14:11:50.210369,70.2,1.0,6,False,1
TX-100053,EcoFibre Ltd,Salem Scrap Yard,plastic,7583.26,19.53,2026-07-11T14:11:50.210612,443.8,8.4,6,False,0
TX-100054,Tiruppur Textiles,Salem Scrap Yard,battery,2064.92,129.86,2026-05-19T14:11:50.210832,117.9,6.4,26,False,0
TX-100055,Tiruppur Textiles,Coimbatore E-Hub,plastic,5979.27,16.25,2026-04-08T14:11:50.210971,308.1,5.4,25,False,0
TX-100056,Tiruppur Textiles,Salem Scrap Yard,plastic,1866.41,20.14,2026-06-03T14:11:50.211106,446.9,4.4,3,False,0
TX-100057,EcoFibre Ltd,Coimbatore E-Hub,plastic,1812.79,21.97,2026-07-14T14:11:50.211245,136.0,9.9,22,False,0
TX-100058,Electro-Recycle,Chennai Polymers,battery,2319.61,170.66,2026-05-31T14:11:50.211397,128.4,5.1,26,False,0
TX-100059,EcoFibre Ltd,Salem Scrap Yard,paper,2946.73,9.19,2026-04-04T14:11:50.211536,120.7,6.7,17,False,0
TX-100060,Kovai Paper Mills,Chennai Polymers,paper,2240.57,9.88,2026-04-07T14:11:50.211659,263.6,9.4,10,False,0
TX-100061,Electro-Recycle,Chennai Polymers,textile,308.3,12.78,2026-05-06T14:11:50.211781,172.5,8.8,15,False,0
TX-100062,EcoFibre Ltd,Coimbatore E-Hub,plastic,7762.32,20.55,2026-06-05T14:11:50.211908,213.6,6.4,1,False,0
TX-100063,EcoFibre Ltd,Salem Scrap Yard,plastic,4321.34,20.56,2026-06-23T14:11:50.212045,338.7,9.4,23,False,0
TX-100064,EcoFibre Ltd,Salem Steel,battery,2054.05,125.05,2026-06-28T14:11:50.212189,429.6,7.6,1,False,0
TX-100065,EcoFibre Ltd,Salem Scrap Yard,metal,4035.5,98.58,2026-06-06T14:11:50.212337,216.9,8.9,18,False,0
TX-100066,Kovai Paper Mills,Chennai Polymers,battery,3287.51,149.04,2026-04-23T14:11:50.212464,318.3,5.3,6,False,0
