material_type,quantity,distance,vehicle_type,season,fire_risk,delay_risk,weather_risk,overall_risk,premium
paper,9517.0,441.88,Heavy Duty Dump,spring,0.38,3.02,1.95,1.95,3921.27
textile,9705.12,501.14,Electric Box Truck,summer,0.27,3.13,2.15,0.93,3564.76
paper,426.01,319.62,Flatbed Carrier,summer,0.37,2.47,1.11,1.82,2078.75
paper,6005.66,37.41,Flatbed Carrier,monsoon,0.2,4.94,6.17,3.16,3348.63
paper,1395.97,302.15,Flatbed Carrier,monsoon,0.39,5.82,5.24,3.91,3173.3
metal,5763.46,28.47,Electric Box Truck,summer,0.0,0.31,2.1,0.85,2255.42
paper,643.23,201.94,Compact Logistics Van,spring,0.89,1.58,0.19,0.53,1398.35
paper,2904.79,184.8,Heavy Duty Dump,spring,0.48,1.7,0.06,0.4,1725.89
battery,2148.66,429.69,Flatbed Carrier,spring,5.35,3.29,1.4,3.64,3341.09
plastic,6308.32,205.23,Compact Logistics Van,monsoon,0.0,4.07,6.49,3.71,3851.05
battery,5700.19,235.93,Flatbed Carrier,summer,5.23,2.77,1.53,3.05,3479.94
battery,5322.78,262.25,Electric Box Truck,winter,4.29,3.15,1.54,3.13,3481.33
textile,5490.44,129.81,Heavy Duty Dump,winter,1.31,2.31,1.18,1.93,2811.82
plastic,1233.84,279.36,Compact Logistics Van,winter,0.98,2.23,0.54,1.08,1842.42
plastic,3316.43,74.93,Heavy Duty Dump,monsoon,1.14,4.14,4.41,3.16,2907.68
textile,6985.87,168.95,Compact Logistics Van,monsoon,0.26,4.39,4.75,3.35,3767.28
plastic,2688.37,155.66,Flatbed Carrier,summer,0.12,2.14,1.96,1.42,2108.78
textile,3581.7,384.27,Electric Box Truck,summer,0.0,4.11,3.3,2.71,3126.66
battery,3822.61,152.87,Electric Box Truck,winter,5.18,1.75,1.73,2.96,3002.96
plastic,1677.03,309.84,Compact Logistics Van,spring,0.29,3.24,1.43,1.14,1984.84
battery,3616.93,66.74,Heavy Duty Dump,spring,5.21,0.0,1.29,2.84,2810.46
plastic,1312.04,555.57,Electric Box Truck,summer,0.91,2.79,2.14,2.36,2766.85
paper,2756.13,597.79,Electric Box Truck,winter,1.0,4.11,0.64,1.49,2682.36
battery,7314.37,539.3,Compact Logistics Van,summer,5.31,4.67,2.14,4.5,4790.66
battery,3848.37,564.68,Heavy Duty Dump,spring,4.51,2.95,0.0,2.37,3235.08
textile,2397.84,430.19,Heavy Duty Dump,summer,1.08,2.49,2.58,2.12,2701.18
plastic,3219.0,330.1,Flatbed Carrier,monsoon,0.0,6.23,6.19,3.75,3462.41
