buyer,seller,material,quantity,seller_initial_price,buyer_target_price,final_price,rounds,success
Electro-Recycle,Salem Scrap Yard,textile,5890.0,18.7,13.35,15.92,4,1
Tiruppur Textiles,Salem Scrap Yard,battery,2185.0,16.67,13.62,15.04,3,1
Kovai Paper Mills,Salem Scrap Yard,textile,1684.0,17.41,13.18,14.52,4,1
Kovai Paper Mills,Salem Scrap Yard,paper,9667.0,17.2,12.2,14.45,3,1
Electro-Recycle,Salem Scrap Yard,plastic,4056.0,24.43,16.51,20.11,5,1
Kovai Paper Mills,Coimbatore E-Hub,paper,1275.0,16.6,14.05,15.19,5,1
Kovai Paper Mills,Salem Steel,metal,4343.0,113.7,94.54,104.78,5,1
EcoFibre Ltd,Coimbatore E-Hub,paper,1516.0,19.38,13.9,17.04,2,1
Tiruppur Textiles,Salem Scrap Yard,metal,5359.0,122.14,84.14,0.0,2,0
Kovai Paper Mills,Chennai Polymers,paper,3195.0,16.52,13.83,14.94,2,1
Electro-Recycle,Chennai Polymers,battery,6392.0,19.28,13.46,15.97,4,1
Kovai Paper Mills,Chennai Polymers,battery,3231.0,18.41,14.0,16.15,2,1
Electro-Recycle,Salem Steel,battery,4340.0,18.67,12.53,15.32,5,1
Electro-Recycle,Salem Scrap Yard,plastic,9255.0,24.25,18.09,21.37,2,1
Tiruppur Textiles,Coimbatore E-Hub,battery,5136.0,17.19,12.17,14.32,3,1
EcoFibre Ltd,Chennai Polymers,textile,3193.0,17.87,12.49,0.0,5,0
Electro-Recycle,Salem Scrap Yard,metal,6092.0,116.36,81.65,97.83,5,1
Electro-Recycle,Coimbatore E-Hub,battery,4913.0,17.17,12.27,14.06,5,1
Electro-Recycle,Salem Steel,plastic,4263.0,23.45,18.92,0.0,2,0
Electro-Recycle,Chennai Polymers,metal,5237.0,118.22,80.5,0.0,5,0
Electro-Recycle,Salem Steel,metal,5672.0,119.79,94.78,109.59,4,1
Tiruppur Textiles,Coimbatore E-Hub,textile,3431.0,19.45,12.9,15.66,4,1
Tiruppur Textiles,Chennai Polymers,paper,4782.0,17.06,12.09,15.34,4,1
Electro-Recycle,Coimbatore E-Hub,paper,3411.0,16.79,14.12,15.85,5,1
EcoFibre Ltd,Salem Scrap Yard,plastic,2302.0,23.36,16.34,0.0,3,0
Kovai Paper Mills,Salem Scrap Yard,plastic,2549.0,25.99,18.9,0.0,2,0
Electro-Recycle,Coimbatore E-Hub,plastic,7900.0,23.4,18.18,0.0,4,0
Kovai Paper Mills,Salem Steel,paper,8945.0,16.53,12.23,0.0,4,0
EcoFibre Ltd,Salem Scrap Yard,metal,3369.0,118.97,94.92,102.95,5,1
Electro-Recycle,Coimbatore E-Hub,plastic,5235.0,24.27,16.28,20.26,4,1
EcoFibre Ltd,Salem Steel,textile,9254.0,19.18,13.42,16.31,5,1
Tiruppur Textiles,Chennai Polymers,paper,8496.0,18.0,13.29,16.3,5,1
Tiruppur Textiles,Salem Scrap Yard,paper,2705.0,19.36,14.06,16.65,2,1
Kovai Paper Mills,Chennai Polymers,paper,690.0,17.42,12.43,15.26,2,1
Kovai Paper Mills,Salem Steel,plastic,6354.0,25.38,18.79,21.4,4,1
EcoFibre Ltd,Salem Steel,plastic,8596.0,22.55,18.13,21.17,4,1
Electro-Recycle,Salem Steel,battery,2341.0,19.1,14.05,16.81,2,1
Kovai Paper Mills,Salem Scrap Yard,paper,6502.0,17.51,12.85,16.91,3,1
Electro-Recycle,Salem Steel,battery,4269.0,18.13,12.64,15.2,5,1
Electro-Recycle,Salem Steel,battery,2991.0,17.48,13.86,15.71,5,1
Tiruppur Textiles,Coimbatore E-Hub,paper,5369.0,16.66,13.2,15.89,5,1
EcoFibre Ltd,Salem Scrap Yard,metal,2193.0,110.82,85.98,100.3,4,1
Electro-Recycle,Salem Steel,textile,8808.0,16.74,12.96,14.68,3,1
EcoFibre Ltd,Salem Scrap Yard,plastic,7904.0,23.12,18.86,21.08,4,1
Tiruppur Textiles,Salem Steel,textile,8630.0,17.24,12.8,14.91,3,1
Tiruppur Textiles,Coimbatore E-Hub,paper,7921.0,17.8,12.9,0.0,3,0
Kovai Paper Mills,Salem Steel,paper,7890.0,16.55,14.1,16.76,2,1
Kovai Paper Mills,Salem Scrap Yard,metal,9587.0,122.73,92.01,107.62,5,1
Kovai Paper Mills,Chennai Polymers,plastic,5552.0,24.18,18.82,21.76,3,1
Tiruppur Textiles,Chennai Polymers,paper,6226.0,17.63,12.09,14.81,3,1
Tiruppur Textiles,Salem Steel,textile,917.0,17.28,13.12,0.0,4,0
Kovai Paper Mills,Chennai Polymers,textile,7664.0,17.35,12.4,15.47,2,1
Electro-Recycle,Chennai Polymers,battery,4579.0,16.88,12.56,0.0,5,0
Tiruppur Textiles,Coimbatore E-Hub,textile,3414.0,16.81,14.03,15.52,3,1
Tiruppur Textiles,Salem Steel,textile,1198.0,16.8,12.12,0.0,4,0
Electro-Recycle,Salem Steel,textile,7766.0,18.31,13.25,15.72,2,1
Electro-Recycle,Salem Scrap Yard,plastic,1562.0,22.36,17.48,19.97,2,1
Tiruppur Textiles,Coimbatore E-Hub,battery,7301.0,19.41,13.55,16.18,3,1
Tiruppur Textiles,Salem Steel,textile,1691.0,16.72,13.85,15.07,2,1
Kovai Paper Mills,Salem Scrap Yard,textile,1865.0,18.94,14.13,16.64,2,1
Kovai Paper Mills,Salem Steel,paper,3986.0,17.95,12.85,14.94,4,1
Electro-Recycle,Chennai Polymers,textile,5349.0,17.91,12.13,15.39,5,1
Electro-Recycle,Chennai Polymers,plastic,7030.0,24.33,18.89,20.74,5,1
Tiruppur Textiles,Salem Steel,metal,4127.0,129.56,88.34,0.0,4,0
EcoFibre Ltd,Chennai Polymers,battery,5848.0,17.26,13.56,15.09,2,1
EcoFibre Ltd,Coimbatore E-Hub,plastic,7614.0,23.12,18.85,20.4,5,1
Kovai Paper Mills,Salem Scrap Yard,textile,9837.0,17.06,13.04,15.51,5,1
Kovai Paper Mills,Salem Scrap Yard,battery,7602.0,18.11,12.7,14.59,5,1
Kovai Paper Mills,Chennai Polymers,textile,2081.0,16.73,14.12,16.18,2,1
Kovai Paper Mills,Salem Steel,metal,7918.0,110.9,80.4,90.46,2,1
