facility,city,material,daily_capacity,current_load,available_capacity,processing_fee,processing_time,distance
Madurai Refine-00 Ltd,Madurai,glass,7390.0,5066.55,2323.45,3.11,1.6,8.2
Bangalore Refine-01 Ltd,Bangalore,paper,13111.0,8737.93,4373.07,3.61,1.1,58.3
Madurai Refine-02 Ltd,Madurai,textile,8949.0,900.48,8048.52,3.51,2.6,7.6
Madurai Refine-03 Ltd,Madurai,organic,2189.0,377.57,1811.43,1.44,3.5,26.0
Madurai Refine-04 Ltd,Madurai,plastic,13394.0,10553.83,2840.17,3.32,1.1,56.8
Chennai Refine-05 Ltd,Chennai,metal,13016.0,1467.85,11548.15,9.53,1.9,18.3
Madurai Refine-06 Ltd,Madurai,organic,12748.0,9772.05,2975.95,1.44,1.7,46.5
Chennai Refine-07 Ltd,Chennai,paper,9989.0,1249.13,8739.87,3.09,4.4,29.7
Chennai Refine-08 Ltd,Chennai,textile,2995.0,1732.07,1262.93,3.15,2.1,50.6
Chennai Refine-09 Ltd,Chennai,plastic,6859.0,4016.82,2842.18,2.95,2.1,21.3
Bangalore Refine-10 Ltd,Bangalore,plastic,10006.0,4389.84,5616.16,2.95,1.1,15.9
Coimbatore Refine-11 Ltd,Coimbatore,battery,14666.0,2335.35,12330.65,13.81,2.4,11.4
Tiruppur Refine-12 Ltd,Tiruppur,paper,5104.0,769.92,4334.08,3.11,3.9,40.1
Coimbatore Refine-13 Ltd,Coimbatore,battery,7056.0,2867.15,4188.85,13.21,4.9,51.7
Bangalore Refine-14 Ltd,Bangalore,metal,2502.0,1793.37,708.63,10.7,2.7,6.4
Bangalore Refine-15 Ltd,Bangalore,battery,2863.0,1743.93,1119.07,13.62,2.3,33.0
Bangalore Refine-16 Ltd,Bangalore,organic,8374.0,3586.64,4787.36,1.38,1.3,20.9
Madurai Refine-17 Ltd,Madurai,metal,12921.0,9645.48,3275.52,8.59,3.5,52.9
Madurai Refine-18 Ltd,Madurai,paper,5627.0,2437.66,3189.34,3.38,1.5,24.6
Tiruppur Refine-19 Ltd,Tiruppur,plastic,3306.0,1460.21,1845.79,3.76,4.3,52.3
Coimbatore Refine-20 Ltd,Coimbatore,plastic,6413.0,1780.8,4632.2,3.38,4.8,22.8
Tiruppur Refine-21 Ltd,Tiruppur,paper,7232.0,1098.64,6133.36,3.22,2.0,18.6
Chennai Refine-22 Ltd,Chennai,battery,9280.0,2027.4,7252.6,14.9,1.1,24.0
Tiruppur Refine-23 Ltd,Tiruppur,battery,7249.0,3803.9,3445.1,15.52,2.8,35.4
Madurai Refine-24 Ltd,Madurai,organic,2202.0,871.38,1330.62,1.61,2.9,59.1
Coimbatore Refine-25 Ltd,Coimbatore,organic,8287.0,6366.42,1920.58,1.41,2.3,15.3
Bangalore Refine-26 Ltd,Bangalore,battery,2659.0,959.28,1699.72,16.08,4.2,24.2
Madurai Refine-27 Ltd,Madurai,plastic,4976.0,2080.25,2895.75,3.17,3.1,51.1
Coimbatore Refine-28 Ltd,Coimbatore,paper,10120.0,1930.68,8189.32,3.78,4.3,35.5
Madurai Refine-29 Ltd,Madurai,plastic,4049.0,3631.96,417.04,3.07,4.9,35.7
Coimbatore Refine-30 Ltd,Coimbatore,organic,12248.0,3957.29,8290.71,1.62,4.4,27.2
Tiruppur Refine-31 Ltd,Tiruppur,paper,14874.0,12620.71,2253.29,3.67,4.1,41.8
Coimbatore Refine-32 Ltd,Coimbatore,textile,7592.0,4789.04,2802.96,4.15,3.6,17.3
Tiruppur Refine-33 Ltd,Tiruppur,paper,8944.0,4428.31,4515.69,3.67,1.7,25.2
Coimbatore Refine-34 Ltd,Coimbatore,plastic,6735.0,3735.55,2999.45,3.41,2.1,18.4
Bangalore Refine-35 Ltd,Bangalore,battery,12677.0,10456.99,2220.01,13.87,2.7,24.3
Tiruppur Refine-36 Ltd,Tiruppur,paper,9022.0,4457.0,4565.0,3.72,2.1,6.3
Tiruppur Refine-37 Ltd,Tiruppur,plastic,9339.0,7960.25,1378.75,3.2,4.8,55.3
Coimbatore Refine-38 Ltd,Coimbatore,paper,3060.0,2578.52,481.48,3.67,4.9,51.9
Bangalore Refine-39 Ltd,Bangalore,glass,4975.0,3885.02,1089.98,3.47,2.3,14.3
Tiruppur Refine-40 Ltd,Tiruppur,metal,7854.0,6089.76,1764.24,8.51,2.4,19.0
Chennai Refine-41 Ltd,Chennai,metal,14249.0,9869.07,4379.93,7.14,3.8,43.6
Bangalore Refine-42 Ltd,Bangalore,metal,4806.0,2094.57,2711.43,8.53,1.3,5.3
Madurai Refine-43 Ltd,Madurai,glass,14307.0,8869.93,5437.07,3.0,3.8,48.8
Madurai Refine-44 Ltd,Madurai,battery,8614.0,1051.71,7562.29,12.66,3.7,23.0
Chennai Refine-45 Ltd,Chennai,organic,13453.0,4429.17,9023.83,1.8,3.4,6.7
Madurai Refine-46 Ltd,Madurai,metal,5854.0,2272.24,3581.76,8.05,4.1,16.9
Bangalore Refine-47 Ltd,Bangalore,organic,7315.0,5659.02,1655.98,1.34,1.8,27.6
Coimbatore Refine-48 Ltd,Coimbatore,organic,9079.0,6181.65,2897.35,1.5,2.3,48.7
Coimbatore Refine-49 Ltd,Coimbatore,paper,7177.0,1168.17,6008.83,3.65,1.1,57.9
Tiruppur Refine-50 Ltd,Tiruppur,paper,11204.0,1642.0,9562.0,3.46,2.0,10.2
Tiruppur Refine-51 Ltd,Tiruppur,glass,5343.0,2742.87,2600.13,3.79,3.6,29.0
Bangalore Refine-52 Ltd,Bangalore,organic,10130.0,3020.61,7109.39,1.69,1.1,11.4
Bangalore Refine-53 Ltd,Bangalore,organic,4141.0,3248.07,892.93,1.39,3.8,31.1
Chennai Refine-54 Ltd,Chennai,metal,4479.0,3339.23,1139.77,7.62,3.6,7.6
Bangalore Refine-55 Ltd,Bangalore,paper,4849.0,1496.96,3352.04,2.77,1.1,56.3
Tiruppur Refine-56 Ltd,Tiruppur,glass,6611.0,3918.21,2692.79,3.62,4.2,42.2
Coimbatore Refine-57 Ltd,Coimbatore,paper,11760.0,5487.24,6272.76,3.82,3.2,56.8
Coimbatore Refine-58 Ltd,Coimbatore,plastic,7536.0,4681.27,2854.73,3.27,1.9,25.7
Bangalore Refine-59 Ltd,Bangalore,battery,10945.0,7074.91,3870.09,13.7,1.3,22.5
Chennai Refine-60 Ltd,Chennai,metal,11817.0,4401.83,7415.17,7.98,3.8,24.2
Coimbatore Refine-61 Ltd,Coimbatore,glass,9543.0,6566.13,2976.87,2.9,4.2,20.5
Chennai Refine-62 Ltd,Chennai,glass,4504.0,2498.89,2005.11,4.06,1.5,18.8
Bangalore Refine-63 Ltd,Bangalore,paper,5440.0,3502.68,1937.32,3.68,4.0,18.1
Tiruppur Refine-64 Ltd,Tiruppur,plastic,10787.0,8210.7,2576.3,3.74,2.6,5.6
Tiruppur Refine-65 Ltd,Tiruppur,battery,6171.0,2369.2,3801.8,14.53,4.8,42.2
Madurai Refine-66 Ltd,Madurai,battery,13769.0,8336.71,5432.29,12.31,2.3,42.0
Madurai Refine-67 Ltd,Madurai,glass,13414.0,9725.64,3688.36,3.34,1.5,56.2
Chennai Refine-68 Ltd,Chennai,organic,8541.0,4608.92,3932.08,1.65,2.4,11.4
Madurai Refine-69 Ltd,Madurai,plastic,9241.0,7111.61,2129.39,3.45,4.5,51.1
Bangalore Refine-70 Ltd,Bangalore,metal,13185.0,10726.23,2458.77,8.04,1.9,37.0
Bangalore Refine-71 Ltd,Bangalore,plastic,3365.0,2524.56,840.44,3.09,4.8,59.2
Madurai Refine-72 Ltd,Madurai,paper,5141.0,3426.71,1714.29,2.68,3.8,18.7
Coimbatore Refine-73 Ltd,Coimbatore,organic,13714.0,4154.6,9559.4,1.45,2.6,36.4
Madurai Refine-74 Ltd,Madurai,paper,10647.0,2065.74,8581.26,3.94,3.3,57.9
Madurai Refine-75 Ltd,Madurai,plastic,9576.0,7611.76,1964.24,3.77,1.9,58.0
Madurai Refine-76 Ltd,Madurai,glass,8316.0,1118.73,7197.27,3.52,5.0,9.1
Coimbatore Refine-77 Ltd,Coimbatore,battery,13704.0,7105.23,6598.77,16.48,3.5,43.3
Tiruppur Refine-78 Ltd,Tiruppur,glass,13829.0,7847.29,5981.71,3.46,3.5,20.3
Madurai Refine-79 Ltd,Madurai,paper,14377.0,5903.41,8473.59,3.84,1.9,19.6
Bangalore Refine-80 Ltd,Bangalore,plastic,6835.0,6076.1,758.9,3.62,2.2,49.8
Madurai Refine-81 Ltd,Madurai,glass,13148.0,10896.3,2251.7,4.16,4.3,57.2
Bangalore Refine-82 Ltd,Bangalore,organic,12136.0,5274.24,6861.76,1.68,4.9,13.3
Bangalore Refine-83 Ltd,Bangalore,metal,6158.0,2551.82,3606.18,7.62,4.3,36.3
Tiruppur Refine-84 Ltd,Tiruppur,metal,12344.0,5330.83,7013.17,7.91,4.5,49.7
Bangalore Refine-85 Ltd,Bangalore,textile,3460.0,1965.69,1494.31,3.48,3.9,46.6
Coimbatore Refine-86 Ltd,Coimbatore,plastic,9245.0,2441.02,6803.98,3.2,1.8,53.3
Chennai Refine-87 Ltd,Chennai,paper,9239.0,1087.87,8151.13,3.17,3.0,31.2
Coimbatore Refine-88 Ltd,Coimbatore,battery,6363.0,4792.03,1570.97,15.62,2.9,28.1
Bangalore Refine-89 Ltd,Bangalore,glass,14173.0,9400.44,4772.56,3.97,1.9,12.5
Madurai Refine-90 Ltd,Madurai,metal,8949.0,5248.32,3700.68,8.66,1.4,45.0
Tiruppur Refine-91 Ltd,Tiruppur,textile,9648.0,7013.35,2634.65,4.22,2.6,39.2
Coimbatore Refine-92 Ltd,Coimbatore,plastic,4180.0,3081.4,1098.6,3.92,4.1,8.6
Bangalore Refine-93 Ltd,Bangalore,metal,9941.0,4911.79,5029.21,7.88,2.3,39.8
Coimbatore Refine-94 Ltd,Coimbatore,battery,8254.0,1676.42,6577.58,15.55,1.7,24.0
