city,material,available_quantity,processing_capacity,imports,exports,future_availability
Salem,textile,260.95,801.72,123.4,69.65,310.45
Erode,paper,214.3,685.8,20.72,109.69,83.53
Coimbatore,paper,260.92,373.82,109.7,67.63,339.73
Coimbatore,paper,1169.82,309.49,27.22,94.67,1033.79
Salem,paper,731.28,141.81,125.43,29.73,799.96
Salem,paper,556.18,209.83,104.08,9.99,637.15
Tiruppur,paper,259.57,779.83,90.78,35.15,294.43
Coimbatore,metal,567.22,455.64,186.07,110.45,645.83
Salem,plastic,1155.35,860.08,151.99,83.26,1244.82
Salem,paper,367.4,366.65,41.4,7.27,405.4
Tiruppur,plastic,278.52,104.97,164.94,107.49,376.21
Erode,metal,462.24,204.28,173.99,95.38,574.82
Coimbatore,plastic,123.09,379.88,71.78,110.79,121.65
Tiruppur,battery,187.53,741.92,154.55,86.39,269.04
Chennai,plastic,867.26,199.8,93.47,34.25,923.8
Erode,paper,1093.7,324.36,87.97,114.55,1110.37
Salem,textile,138.53,360.78,40.63,139.81,61.92
Salem,paper,301.21,474.86,177.82,52.03,479.12
Salem,plastic,415.7,199.05,53.31,66.93,415.41
Chennai,plastic,607.55,723.19,61.19,40.4,640.09
Chennai,plastic,514.41,158.4,58.24,40.8,580.76
Erode,plastic,1197.4,340.1,195.56,64.6,1373.58
Erode,plastic,779.5,712.63,110.88,69.93,917.6
Chennai,battery,328.48,822.83,99.36,147.6,335.67
Chennai,plastic,223.33,557.38,142.2,129.46,186.71
Coimbatore,battery,980.93,413.8,28.27,141.38,837.12
Coimbatore,plastic,827.04,761.69,49.72,83.51,747.01
Coimbatore,plastic,644.13,334.75,199.29,144.99,731.79
Erode,textile,1065.03,269.84,62.99,106.55,1026.36
Tiruppur,paper,146.76,245.47,180.73,92.93,239.31
Chennai,plastic,813.03,104.56,40.55,84.57,816.23
Tiruppur,paper,869.01,313.52,71.83,113.24,887.22
Chennai,plastic,404.27,588.29,106.67,97.27,437.96
Erode,battery,1075.85,668.02,161.01,77.88,1091.56
Salem,plastic,274.53,750.21,63.35,8.53,281.16
Salem,textile,371.49,895.14,152.07,143.2,402.08
Erode,plastic,685.68,615.06,196.26,15.93,823.29
Tiruppur,battery,244.92,601.12,187.87,105.92,300.0
Coimbatore,metal,342.29,365.76,71.28,128.06,304.35
Erode,metal,980.77,829.1,174.74,137.42,985.32
Coimbatore,plastic,772.08,274.85,23.48,62.53,736.1
Chennai,plastic,228.3,983.66,169.4,129.76,249.51
Tiruppur,paper,94.66,372.94,112.05,52.36,129.98
Salem,textile,575.85,857.82,46.93,64.65,593.1
Chennai,paper,202.66,972.58,145.77,10.95,278.62
Coimbatore,metal,79.15,966.38,168.84,105.92,52.5
Erode,plastic,249.29,240.79,57.55,84.64,264.74
Erode,plastic,1148.1,764.11,115.33,93.7,1226.71
Chennai,paper,700.94,242.78,32.83,54.57,710.66
Salem,plastic,584.37,684.8,19.13,142.63,487.88
Salem,metal,350.03,113.77,187.35,77.65,546.74
Coimbatore,plastic,1047.28,672.76,162.18,103.19,1124.89
Chennai,paper,197.78,830.08,165.92,95.76,290.5
Chennai,paper,365.06,293.13,81.68,10.65,483.81
Coimbatore,battery,437.04,690.15,83.23,103.83,360.71
Salem,metal,851.25,666.05,176.72,111.59,879.27
Erode,textile,374.34,259.7,152.62,121.99,404.02
Coimbatore,plastic,942.87,406.72,186.84,129.47,1005.53
Tiruppur,textile,900.9,314.41,81.77,82.48,789.64
Erode,battery,164.98,148.14,192.12,127.84,225.83
Tiruppur,paper,1142.57,955.55,118.95,96.62,1084.27
Tiruppur,paper,823.4,777.14,160.4,119.49,844.2
Erode,textile,618.58,151.8,114.41,69.02,650.06
Coimbatore,paper,841.23,853.27,174.71,126.58,925.53
Erode,metal,506.15,902.71,37.85,79.43,484.62
Erode,plastic,1062.41,313.02,182.46,90.82,1088.27
Salem,paper,146.03,799.43,116.1,66.51,182.01
Salem,metal,902.12,790.48,166.33,112.91,955.33
Chennai,textile,323.13,460.2,100.77,17.02,291.48
