supplier_id,industry,city,delivery_delay_days,quality_score,fulfilled_orders,cancelled_orders,late_shipments,contract_breaches,rating,reliability_class
GC-SUP-1000,agriculture,Erode,14,85.9,198,6,18,2,1.9,0
GC-SUP-1001,manufacturing,Erode,1,85.4,423,37,1,0,4.6,2
GC-SUP-1002,textiles,Salem,9,75.7,245,24,48,2,1.0,0
GC-SUP-1003,agriculture,Salem,14,72.3,184,18,2,0,3.7,1
GC-SUP-1004,electronics,Erode,8,53.2,397,24,59,1,1.0,0
GC-SUP-1005,construction,Coimbatore,3,61.8,453,6,43,0,3.5,0
GC-SUP-1006,electronics,Tiruppur,3,58.9,397,1,5,1,1.0,0
GC-SUP-1007,packaging,Coimbatore,11,96.0,455,35,13,2,1.9,0
GC-SUP-1008,manufacturing,Salem,8,97.1,222,15,44,1,4.3,0
GC-SUP-1009,textiles,Salem,11,76.6,50,4,0,0,4.3,1
GC-SUP-1010,textiles,Tiruppur,11,64.4,72,2,2,0,3.6,0
GC-SUP-1011,electronics,Erode,9,67.6,50,3,6,0,3.6,1
GC-SUP-1012,agriculture,Coimbatore,0,53.1,416,23,36,2,1.0,0
GC-SUP-1013,electronics,Tiruppur,2,55.9,471,2,0,0,3.0,0
GC-SUP-1014,packaging,Chennai,8,84.8,355,12,50,2,1.2,0
GC-SUP-1015,construction,Salem,13,56.8,240,12,14,2,1.0,0
GC-SUP-1016,construction,Salem,12,53.8,196,18,21,1,1.0,0
GC-SUP-1017,construction,Salem,11,60.7,349,29,61,2,1.0,0
GC-SUP-1018,packaging,Salem,8,65.6,234,0,26,1,1.4,0
GC-SUP-1019,electronics,Tiruppur,13,60.9,316,9,43,2,1.0,0
GC-SUP-1020,electronics,Tiruppur,3,67.8,451,11,38,1,1.6,0
GC-SUP-1021,textiles,Chennai,0,97.9,229,21,22,0,5.0,1
GC-SUP-1022,textiles,Tiruppur,2,83.4,62,3,9,1,3.0,0
GC-SUP-1023,electronics,Chennai,0,85.7,289,4,51,1,2.3,0
GC-SUP-1024,manufacturing,Chennai,14,54.4,106,8,5,0,2.6,0
GC-SUP-1025,agriculture,Chennai,9,75.1,156,3,31,2,1.1,0
GC-SUP-1026,agriculture,Tiruppur,0,69.5,48,1,7,0,3.9,1
GC-SUP-1027,packaging,Coimbatore,2,61.2,153,9,15,0,3.4,0
GC-SUP-1028,agriculture,Salem,0,61.9,313,29,11,0,3.2,0
GC-SUP-1029,textiles,Tiruppur,2,84.3,217,2,19,1,3.0,0
GC-SUP-1030,textiles,Salem,10,95.8,429,37,83,1,3.4,0
GC-SUP-1031,manufacturing,Chennai,12,61.0,170,3,32,1,1.1,0
