passport_id,material_type,quantity,origin_city,status,last_checkpoint,last_gps,verification_hash
GC-PASS-100000,paper,4756.0,Chennai,recycled,Chennai Sorting Plant,"11.4092, 77.6734",cb5bb334a81475028c38b5e3dca43ff0537c063ed87fc2decaa66c315456905b
GC-PASS-100001,metal,822.2,Chennai,transported,Chennai Sorting Plant,"11.7231, 77.4444",24df85fc4546853a5208e6b6feebe97d5127b44af96624e22eb397b0ff6ab381
GC-PASS-100002,paper,757.2,Chennai,recycled,Chennai Sorting Plant,"11.1769, 77.3391",1fd3c581fc3ce4b6dcd81f83460877eff1f3668a2f6cf03e53a2e792ada45aa1
GC-PASS-100003,paper,4695.8,Coimbatore,processed,Coimbatore Sorting Plant,"11.7420, 77.2184",ce24df1823bb5cd5a36b05b64ef43c1fff7c4b5ea45ae063aebf2c1317b419e9
GC-PASS-100004,paper,3077.7,Erode,processed,Erode Sorting Plant,"11.3904, 77.8728",93b5cb7b0c58849e76d0ea9faf1210683bee724468e85e5a10f92e7bdf8e79f4
GC-PASS-100005,battery,3078.7,Coimbatore,processed,Coimbatore Sorting Plant,"11.3747, 77.1975",a7e28470f1b628c99b4d9fdf3002adba0c43b38cdfd34a839ce13ccb6b901753
GC-PASS-100006,battery,1943.2,Salem,generated,Salem Sorting Plant,"11.4202, 77.4556",f6890867a71c4d6109383e9859c531838f214633acbe84b73b5096ce8481cac1
GC-PASS-100007,battery,3417.5,Tiruppur,sorted,Tiruppur Sorting Plant,"11.3435, 77.1600",b4fce92bc06b4e99d1f5ca344bfabdd31bcabff4e856e93ed27ccba39bac4351
GC-PASS-100008,paper,2838.3,Coimbatore,generated,Coimbatore Sorting Plant,"11.8513, 77.3612",9c14b4bcc9f9bc6fea9bcdcce6fc4417390c8abbafc05ed20a56b3267cbbe93d
GC-PASS-100009,metal,3437.0,Salem,processed,Salem Sorting Plant,"11.3556, 77.1775",1852537ba069acabb5bb5709795252cad331d92ea447be06c3917732d5ccf00b
GC-PASS-100010,battery,4551.1,Salem,sorted,Salem Sorting Plant,"11.4943, 77.8555",8d30fc3b4cada72349f84b6247e406bb5e096462737e8644db32a09f421ff67d
GC-PASS-100011,metal,2154.5,Coimbatore,processed,Coimbatore Sorting Plant,"11.8989, 77.2500",6440132d27d805a3e7132cf69086c606ef76ee257667176421040242d7562a5e
GC-PASS-100012,metal,3886.9,Coimbatore,sorted,Coimbatore Sorting Plant,"11.2981, 77.1995",40303fb77a2988a164ccbee81482c73107adbd58c55706cd55945608549d9d0a
GC-PASS-100013,paper,273.9,Erode,recycled,Erode Sorting Plant,"11.1337, 77.1878",83d85ed80bf3627d77d6b682dd86db96ba531837d357b41f509ed584b64bbfa9
GC-PASS-100014,textile,2954.4,Tiruppur,processed,Tiruppur Sorting Plant,"11.7331, 77.1379",083f2c8a218daf442f3e566770a20c624d7954a5e65f051f4db2898b76138cfe
GC-PASS-100015,textile,747.6,Erode,generated,Erode Sorting Plant,"11.3568, 77.6463",a605cc11cca08c0a92320e4bf34cfbee12e242f4c137804a0bec77c52874c53a
GC-PASS-100016,plastic,1033.6,Chennai,transported,Chennai Sorting Plant,"11.7736, 77.1391",e6e7557674cd032b9ddcc8562f824d76f431c7b6f296be5989bc596ef6281e2b
GC-PASS-100017,battery,3961.4,Chennai,recycled,Chennai Sorting Plant,"11.4561, 77.3278",7ff81959bfc0b9c9c04b24476dd03d44d0345c4bc9f55e1338e81dbdbc62a701
GC-PASS-100018,metal,623.6,Tiruppur,processed,Tiruppur Sorting Plant,"11.8073, 77.4104",ed9a316510c35ed1580b3d1a1cd33a9982f787234a69d1e2fdd32dd6bd29902b
GC-PASS-100019,textile,3661.6,Chennai,transported,Chennai Sorting Plant,"11.6056, 77.8906",5470cf38edc5b8af01e02a0d38ae91120769a5f9bd26f3144c1908d4bf3b9a9d
GC-PASS-100020,textile,4860.0,Chennai,generated,Chennai Sorting Plant,"11.2028, 77.8385",05a47bf8172a21034f43a7c435b818841669584f03bd959d495a377fb0ce3dcd
GC-PASS-100021,battery,2637.5,Coimbatore,sorted,Coimbatore Sorting Plant,"11.8035, 77.2484",c0927a5798218a8d9093273b2d4abe9f9d20478d7ea3029bad45f77ad8bdd237
GC-PASS-100022,battery,205.6,Tiruppur,processed,Tiruppur Sorting Plant,"11.6116, 77.5191",3b65f6326e66f3d0ead9aa0364d27bdb448e127954edc84a5021bc6075eadb62
GC-PASS-100023,paper,4542.5,Erode,transported,Erode Sorting Plant,"11.5636, 77.2059",2532ad8de56eb489c15778283f2884b3733e1e0a957351bd47206dcf431345fd
GC-PASS-100024,textile,431.1,Chennai,transported,Chennai Sorting Plant,"11.4157, 77.6915",e8ee4dd64ec648bd5c99f20641c2fd79d3e75298f30cc3a97a173bb3cd5c0cd8
GC-PASS-100025,metal,3140.6,Tiruppur,recycled,Tiruppur Sorting Plant,"11.3693, 77.5891",c0fc1b67f0410e8c3a5650c54f8dc32ffceed2d25c57fdb867cf48db08acbcb0
GC-PASS-100026,paper,1131.3,Salem,transported,Salem Sorting Plant,"11.2663, 77.2529",decbc531e9271b06b9c1d899c8f9964c828276c08e6fe0f937aa425a53234be2
GC-PASS-100027,paper,1813.7,Tiruppur,generated,Tiruppur Sorting Plant,"11.6496, 77.2306",9032e10b219a41f889c6eb6620d27d8b88544a6b93ba816e379d792ae55fed7c
GC-PASS-100028,plastic,4099.2,Tiruppur,transported,Tiruppur Sorting Plant,"11.8526, 77.1709",0d37dfc08a65807693cfa352d9cf6104f1be4e6b05dba7cf7df5b9dd1b1bbc06
GC-PASS-100029,battery,2116.2,Erode,generated,Erode Sorting Plant,"11.8986, 77.6353",b80c19ce4e314573f06a5ed19c55d1759e366b845a63d460af707106d89257cd
GC-PASS-100030,paper,1258.4,Chennai,generated,Chennai Sorting Plant,"11.4763, 77.6232",f28855266fb62088a150a6bfa9c199ed89916cbcc4fdd6451bd99f74c456a0f2
GC-PASS-100031,plastic,1306.9,Salem,sorted,Salem Sorting Plant,"11.8554, 77.8280",99fd257a59aeb5b6734327547aa1363435c74daa3d6a3f0be71722b85ac34bce
GC-PASS-100032,textile,1460.0,Tiruppur,transported,Tiruppur Sorting Plant,"11.3160, 77.5097",6d042c28403642129825343fe36ed79ed808eb534f3a9d7b2f11ad802ad34d12
GC-PASS-100033,metal,2084.6,Erode,generated,Erode Sorting Plant,"11.7528, 77.4474",66a93f87877671d5bd3bd1b473aac26a63a317f98eca86c75a66d27b164bbab3
GC-PASS-100034,metal,2678.1,Coimbatore,processed,Coimbatore Sorting Plant,"11.4510, 77.1202",ec5eff8c034e82e5049fd63971c37b8c5f2234c443d670cd11a2d641169b7b11
GC-PASS-100035,battery,1248.7,Erode,processed,Erode Sorting Plant,"11.8777, 77.1197",b68baf09566c6ea589aa41be79b7403cd14f165cc2bb45afb0160ee351e5a327
GC-PASS-100036,battery,4091.3,Tiruppur,generated,Tiruppur Sorting Plant,"11.2147, 77.5282",0f96f1685d0928a7742d99c0e00afd753cd589be3b73bddcab09dfb9dc345fe5
GC-PASS-100037,textile,4298.9,Salem,transported,Salem Sorting Plant,"11.7051, 77.7546",4396ba1838e56fd03e2c138553e3ac39a396f58114d6c8afa98bddc53b9bbd85
GC-PASS-100038,metal,2584.9,Chennai,processed,Chennai Sorting Plant,"11.3911, 77.2734",81f07941569acade69daaac245380b206364795dc484d0cf7dfc3e71377e20d3
GC-PASS-100039,paper,4705.6,Coimbatore,generated,Coimbatore Sorting Plant,"11.2802, 77.7616",f123d30395d0f5990e6f69e2f0f1817a2fac8edfe9b819e6a48e8f30bd4c810c
GC-PASS-100040,metal,4627.2,Coimbatore,transported,Coimbatore Sorting Plant,"11.1262, 77.6883",34014d495ee669bf33007d67363c2215d06619af39bf317bc2f31955c081bf55
GC-PASS-100041,metal,4911.7,Salem,processed,Salem Sorting Plant,"11.5976, 77.3049",02d2d615e830764b1f76b4fcc5424d44061f1dbd3425cdb3c94947b00b77eb1c
GC-PASS-100042,plastic,510.9,Salem,recycled,Salem Sorting Plant,"11.4108, 77.6279",32ba8ae832f8022645f075bd4db3983a6c5a87b2d0b2d9917e821503675d86c5
GC-PASS-100043,battery,984.1,Tiruppur,transported,Tiruppur Sorting Plant,"11.2682, 77.7959",f23fe21cc82b46f2e00f15c4109e01b04087516caa2d7fc11ce9fc77a4db24b0
GC-PASS-100044,battery,4288.8,Tiruppur,processed,Tiruppur Sorting Plant,"11.5682, 77.2648",04133d00dc3b551e4eeef1a9ef1b0ef8eddc49671212c4153862589200331939
GC-PASS-100045,paper,4497.8,Salem,transported,Salem Sorting Plant,"11.4183, 77.3557",f6255262e3ec38154e7b2474e36c5c5c7b7d9d9e4802bb26b0a117a7a9b6a40e
GC-PASS-100046,plastic,3334.3,Erode,sorted,Erode Sorting Plant,"11.7015, 77.5973",129d1d64829ba4081d13278c8b6d98cac4bf197d409f3af6684cd0679675e20d
GC-PASS-100047,metal,2453.8,Chennai,recycled,Chennai Sorting Plant,"11.6800, 77.5067",80e3c750ef25fec28148b3ca5e5da0635429f0b228b46272168e5359980fc2e0
GC-PASS-100048,plastic,139.5,Erode,processed,Erode Sorting Plant,"11.2527, 77.7015",840412cdca95167c84891779e3eea26a058fd0416b4c3d035ecaf8c5e1e9f464
GC-PASS-100049,battery,3305.2,Tiruppur,processed,Tiruppur Sorting Plant,"11.1954, 77.5565",215f785b1458e13339c51a1ed5f8c4c1478fddff4fa3458d61b37de86b966903
GC-PASS-100050,textile,2459.4,Chennai,transported,Chennai Sorting Plant,"11.1225, 77.8444",fe52f4f7777c706138a0e2b09db42beeb220754c12d0648b56166c015ad2d043
GC-PASS-100051,plastic,2905.7,Tiruppur,recycled,Tiruppur Sorting Plant,"11.4067, 77.8996",cc8b024eeafde1d3fbeeb5b20c6568f064b4c57faa1282e2558ad7c0792b52a4
GC-PASS-100052,battery,2881.4,Tiruppur,generated,Tiruppur Sorting Plant,"11.8339, 77.2243",01f55961af74683fca6d04b655ccb32202e2eb96d690b714f8f524b2d913c384
GC-PASS-100053,textile,1433.8,Chennai,processed,Chennai Sorting Plant,"11.6864, 77.2060",9365ea04cba91c1df1c641797bffabe2aba2b5524b305347d6c281c598800b63
GC-PASS-100054,textile,2169.5,Erode,transported,Erode Sorting Plant,"11.1699, 77.6088",a6e93fe0365f8515f8f8693eb83aea9403029bdc39a067ae8e91925521f14df5
GC-PASS-100055,paper,1507.5,Erode,generated,Erode Sorting Plant,"11.4327, 77.4394",3887c9dbdd0ee5ad5d2799d89e4197eec61ccdaedce76f6e270d759b031c9c4e
GC-PASS-100056,metal,2806.2,Coimbatore,transported,Coimbatore Sorting Plant,"11.2895, 77.3733",f279434ec3fffc619be4b627fcf675bbca1569b98c645d36f0e89dbdf38b7037
GC-PASS-100057,metal,3094.3,Coimbatore,transported,Coimbatore Sorting Plant,"11.3537, 77.2409",bcbe4c9a573f42f5a7eae5870fd74e0efca1de02fb81615eea8b01e08e9b4291
GC-PASS-100058,metal,3716.8,Tiruppur,generated,Tiruppur Sorting Plant,"11.8978, 77.5341",0078ebf74eb53bca885c61f571b15dd529021b0150f4fd86b5c34c997aec3de7
GC-PASS-100059,textile,1517.7,Coimbatore,transported,Coimbatore Sorting Plant,"11.2841, 77.6016",21a309df4fd3f1155f4bba86eb6b2354ec90c4510e88775a7050f52dede4130a
GC-PASS-100060,textile,453.9,Tiruppur,processed,Tiruppur Sorting Plant,"11.5780, 77.5115",70d58785d8cb1922bca497743bd14e0b6d5bc7febac0e0464372eb01a9c07615
GC-PASS-100061,plastic,401.2,Salem,transported,Salem Sorting Plant,"11.7614, 77.2166",e639fbfc7044ecbee023441b504eecfdfb2adeb25afeed3df95f7b6f0adc94d4
GC-PASS-100062,paper,2915.4,Chennai,generated,Chennai Sorting Plant,"11.4769, 77.1574",7c5be9f87db3fc09d64b15fc8b75fedbd2fc7338387f6255c2385f89696b2c59
GC-PASS-100063,textile,4202.7,Coimbatore,generated,Coimbatore Sorting Plant,"11.2715, 77.5777",21db01da341bea5adc10323dcf61998eb4b10434c69436e97cf974b04b66aa11
GC-PASS-100064,battery,678.9,Tiruppur,recycled,Tiruppur Sorting Plant,"11.6691, 77.4051",d9b97c60f3b9761eec8a5f5eba9fc30ca4c4609aba8f408d9e243ca9945de15f
GC-PASS-100065,paper,3133.3,Salem,recycled,Salem Sorting Plant,"11.1991, 77.8027",565a7a02e62e67933404c832d7b462eac83b6bc09bf927b35e6d5138ed4c29c9
GC-PASS-100066,battery,3205.3,Salem,recycled,Salem Sorting Plant,"11.5465, 77.1635",7d4e542ff0c9578d898646a0dc2ec2867d1ed4cb65c112d330a93cff014de240
