plant,workers,shift,attendance_rate,overtime_hours,downtime_hours,productivity
Chennai Extrusion Center,102,Night,0.92,6.0,0.6,78.8
Salem Compressed Scrap,140,Afternoon,0.72,7.2,3.8,50.1
Coimbatore Sorting Hub,30,Morning,0.79,5.2,1.7,64.8
Coimbatore Sorting Hub,24,Afternoon,0.73,6.2,1.5,49.0
Salem Compressed Scrap,73,Morning,0.71,6.1,0.7,56.7
Salem Compressed Scrap,101,Night,0.9,6.1,3.3,61.2
Chennai Extrusion Center,90,Afternoon,0.9,3.1,2.1,60.6
Chennai Extrusion Center,53,Afternoon,0.82,9.3,2.9,59.7
Chennai Extrusion Center,49,Morning,0.82,2.7,3.3,47.2
Salem Compressed Scrap,50,Morning,0.94,0.7,3.9,56.1
Salem Compressed Scrap,138,Night,0.94,7.1,2.9,64.3
Chennai Extrusion Center,81,Afternoon,0.73,3.7,2.7,48.5
Tiruppur Weaving Plant,108,Afternoon,0.97,4.7,0.5,86.5
Coimbatore Sorting Hub,112,Night,0.86,4.3,0.1,78.0
Tiruppur Weaving Plant,72,Night,0.84,5.6,2.8,61.5
Chennai Extrusion Center,38,Morning,0.72,2.9,0.6,54.3
Coimbatore Sorting Hub,54,Afternoon,0.89,8.7,3.2,69.9
Salem Compressed Scrap,138,Morning,0.89,0.0,1.4,69.8
Chennai Extrusion Center,112,Afternoon,0.85,4.2,0.9,68.0
Chennai Extrusion Center,68,Afternoon,0.77,5.6,1.6,55.2
Coimbatore Sorting Hub,61,Afternoon,0.91,7.1,0.6,76.8
Chennai Extrusion Center,138,Night,0.9,5.3,1.8,71.8
Coimbatore Sorting Hub,77,Night,0.93,2.4,2.9,72.3
Coimbatore Sorting Hub,148,Night,0.73,8.4,1.3,51.7
Coimbatore Sorting Hub,102,Night,0.88,6.8,0.1,69.2
Salem Compressed Scrap,61,Morning,0.91,3.9,3.7,60.3
Tiruppur Weaving Plant,20,Morning,0.73,9.2,3.5,52.6
Coimbatore Sorting Hub,121,Morning,0.85,2.6,4.0,47.6
Coimbatore Sorting Hub,149,Morning,0.97,6.3,1.4,84.7
Chennai Extrusion Center,63,Morning,0.89,0.8,0.6,68.6
Coimbatore Sorting Hub,113,Afternoon,0.7,1.0,2.7,56.2
Salem Compressed Scrap,77,Morning,0.85,1.8,1.5,67.8
Salem Compressed Scrap,144,Night,0.9,5.7,0.4,69.8
Coimbatore Sorting Hub,47,Afternoon,0.82,8.9,2.5,56.6
Coimbatore Sorting Hub,30,Afternoon,0.89,6.7,3.5,61.3
Salem Compressed Scrap,44,Morning,0.71,9.9,1.9,47.3
Coimbatore Sorting Hub,126,Afternoon,0.81,0.2,3.7,52.8
Chennai Extrusion Center,125,Night,0.79,1.9,1.1,62.3
Chennai Extrusion Center,137,Afternoon,0.87,9.4,2.8,59.1
Salem Compressed Scrap,95,Night,0.74,5.2,3.5,48.4
Tiruppur Weaving Plant,113,Morning,0.74,7.1,2.2,51.4
Coimbatore Sorting Hub,22,Afternoon,0.7,6.3,0.8,49.8
Salem Compressed Scrap,124,Night,0.71,5.8,1.8,47.7
Coimbatore Sorting Hub,72,Afternoon,0.79,5.9,0.1,74.6
Salem Compressed Scrap,79,Night,0.81,1.3,2.1,55.2
Tiruppur Weaving Plant,112,Afternoon,0.72,5.3,2.2,55.5
Chennai Extrusion Center,61,Morning,0.99,7.1,0.2,79.7
Coimbatore Sorting Hub,99,Morning,0.76,0.8,1.7,46.0
Salem Compressed Scrap,138,Afternoon,0.97,4.4,1.0,80.7
Tiruppur Weaving Plant,78,Afternoon,0.92,0.5,2.3,69.9
Chennai Extrusion Center,95,Morning,0.8,0.9,0.4,70.2
Salem Compressed Scrap,42,Afternoon,0.83,4.0,2.5,62.8
Tiruppur Weaving Plant,109,Afternoon,0.78,0.2,3.7,63.5
Tiruppur Weaving Plant,13,Night,0.98,8.7,2.5,74.7
Salem Compressed Scrap,149,Afternoon,0.87,1.3,3.2,60.6
Tiruppur Weaving Plant,83,Night,0.76,0.7,0.4,68.4
Coimbatore Sorting Hub,44,Night,0.72,3.2,3.4,42.6
Tiruppur Weaving Plant,123,Morning,0.98,0.4,1.7,73.4
Tiruppur Weaving Plant,147,Morning,0.93,8.1,4.0,53.1
Chennai Extrusion Center,105,Night,0.98,8.6,1.7,72.0
Tiruppur Weaving Plant,32,Morning,0.77,3.8,2.1,44.1
Tiruppur Weaving Plant,28,Morning,0.72,9.6,3.4,47.4
Tiruppur Weaving Plant,37,Afternoon,0.9,4.8,2.0,74.4
Tiruppur Weaving Plant,62,Night,0.93,1.1,3.7,72.0
Coimbatore Sorting Hub,131,Morning,0.92,5.5,2.8,66.8
Coimbatore Sorting Hub,16,Afternoon,0.91,0.7,3.3,61.6
Coimbatore Sorting Hub,14,Morning,0.73,9.9,1.5,63.9
Chennai Extrusion Center,80,Morning,0.88,3.5,2.8,59.4
Chennai Extrusion Center,117,Afternoon,0.91,2.5,1.3,63.9
Coimbatore Sorting Hub,135,Afternoon,0.92,7.7,3.3,62.9
Chennai Extrusion Center,10,Night,0.88,9.6,1.5,74.2
Coimbatore Sorting Hub,126,Afternoon,0.94,9.8,2.2,70.7
Chennai Extrusion Center,89,Afternoon,0.98,9.2,1.0,79.3
Chennai Extrusion Center,58,Afternoon,0.79,10.0,2.8,58.1
Chennai Extrusion Center,21,Afternoon,0.99,8.9,1.8,70.9
Salem Compressed Scrap,99,Afternoon,0.77,2.7,1.4,63.1
Salem Compressed Scrap,55,Night,0.95,9.5,2.9,63.2
Salem Compressed Scrap,39,Afternoon,0.87,1.6,1.6,75.2
Coimbatore Sorting Hub,74,Afternoon,1.0,1.5,2.4,75.1
Chennai Extrusion Center,107,Morning,0.82,2.7,0.2,69.6
Coimbatore Sorting Hub,104,Morning,1.0,5.6,3.1,70.2
Coimbatore Sorting Hub,10,Night,0.78,2.1,3.5,41.8
Salem Compressed Scrap,41,Afternoon,0.81,1.1,2.7,63.4
Chennai Extrusion Center,59,Morning,0.87,5.6,3.5,58.9
Tiruppur Weaving Plant,121,Night,0.71,7.6,2.5,46.0
Coimbatore Sorting Hub,47,Afternoon,0.88,3.9,1.7,70.8
Chennai Extrusion Center,61,Morning,0.85,7.8,1.6,72.7
Tiruppur Weaving Plant,38,Afternoon,0.98,4.9,1.0,81.6
Salem Compressed Scrap,78,Afternoon,0.89,3.5,0.8,63.4
Chennai Extrusion Center,89,Night,0.82,7.0,0.7,73.5
Salem Compressed Scrap,34,Night,0.96,5.2,3.9,57.6
Tiruppur Weaving Plant,14,Afternoon,0.78,1.8,0.4,68.1
Tiruppur Weaving Plant,142,Morning,0.81,8.9,0.5,63.5
Coimbatore Sorting Hub,56,Morning,0.91,5.1,0.6,70.1
Salem Compressed Scrap,70,Morning,0.78,8.1,3.0,52.2
Chennai Extrusion Center,65,Afternoon,0.77,7.6,2.1,55.1
Coimbatore Sorting Hub,118,Afternoon,0.71,2.5,2.9,47.3
Chennai Extrusion Center,27,Afternoon,0.81,4.0,0.4,72.9
Chennai Extrusion Center,37,Afternoon,0.87,8.4,0.4,67.7
Tiruppur Weaving Plant,34,Afternoon,0.94,5.0,0.3,80.9
Chennai Extrusion Center,43,Night,0.92,4.3,0.5,73.3
Coimbatore Sorting Hub,73,Afternoon,0.77,5.0,1.3,54.2
Tiruppur Weaving Plant,42,Morning,0.73,1.5,1.0,55.9
Coimbatore Sorting Hub,103,Night,0.72,8.4,0.2,61.2
Chennai Extrusion Center,49,Morning,0.99,1.1,1.6,74.2
